TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Antioquia-Caribe,2023,4209342210.9053054
Antioquia-Caribe,2024,237109812.57824248
Antioquia-Caribe,2025,157748145.4635411
Antioquia-Caribe,2026,138966214.29131985
Antioquia-Caribe,2027,137695496.49300104
Antioquia-Caribe,2028,132070408.16190574
Antioquia-Caribe,2029,125368380.06730308
Antioquia-Caribe,2030,113040644.5306456
Antioquia-Caribe,2031,108791867.6024062
Antioquia-Caribe,2032,112568006.52501887
Antioquia-Caribe,2033,117388989.21605876
Antioquia-Caribe,2034,131790173.83235544
Antioquia-Caribe,2035,210986529.95274132
Antioquia-Nordeste,2023,4165982808.4354525
Antioquia-Nordeste,2024,194471056.81205267
Antioquia-Nordeste,2025,127881932.7824628
Antioquia-Nordeste,2026,119890791.532334
Antioquia-Nordeste,2027,119549111.22719291
Antioquia-Nordeste,2028,114857621.08162376
Antioquia-Nordeste,2029,110750743.94031358
Antioquia-Nordeste,2030,105793066.67974862
Antioquia-Nordeste,2031,102620996.04649873
Antioquia-Nordeste,2032,102862996.98215377
Antioquia-Nordeste,2033,108012519.76606481
Antioquia-Nordeste,2034,124327980.52870564
Antioquia-Nordeste,2035,202061452.08432046
Antioquia-Oriental,2023,3676504694.8164396
Antioquia-Oriental,2024,155855269.5679852
Antioquia-Oriental,2025,168338183.42173937
Antioquia-Oriental,2026,150959328.89956173
Antioquia-Oriental,2027,147216391.7875878
Antioquia-Oriental,2028,139297104.9424036
Antioquia-Oriental,2029,127469046.22815062
Antioquia-Oriental,2030,119724908.40174438
Antioquia-Oriental,2031,117263719.46912883
Antioquia-Oriental,2032,117767613.32369532
Antioquia-Oriental,2033,123790511.7425068
Antioquia-Oriental,2034,138554576.52572328
Antioquia-Oriental,2035,191449463.66572374
Antioquia-Surocciden,2023,3813095539.557784
Antioquia-Surocciden,2024,268238859.48985285
Antioquia-Surocciden,2025,123472534.34760594
Antioquia-Surocciden,2026,116750546.74958302
Antioquia-Surocciden,2027,115400999.27934264
Antioquia-Surocciden,2028,111219660.07228224
Antioquia-Surocciden,2029,111409765.99713941
Antioquia-Surocciden,2030,112024359.74601287
Antioquia-Surocciden,2031,111362461.11813547
Antioquia-Surocciden,2032,111709391.27387357
Antioquia-Surocciden,2033,115475252.88185969
Antioquia-Surocciden,2034,128526940.63430226
Antioquia-Surocciden,2035,191739443.45575622
Caribe-Nordeste,2023,3981374374.3404
Caribe-Nordeste,2024,176427641.52438653
Caribe-Nordeste,2025,131194597.9208508
Caribe-Nordeste,2026,127071290.6857894
Caribe-Nordeste,2027,124191352.74211916
Caribe-Nordeste,2028,117961740.37767681
Caribe-Nordeste,2029,114372875.52149935
Caribe-Nordeste,2030,109361304.12153125
Caribe-Nordeste,2031,105897344.47109613
Caribe-Nordeste,2032,105764100.94383277
Caribe-Nordeste,2033,110771369.002692
Caribe-Nordeste,2034,126075027.2196978
Caribe-Nordeste,2035,190447058.4182174
Nordeste-Oriental,2023,4015036963.7303476
Nordeste-Oriental,2024,214758887.0771368
Nordeste-Oriental,2025,120711414.49958426
Nordeste-Oriental,2026,116755575.09580576
Nordeste-Oriental,2027,115067993.34321198
Nordeste-Oriental,2028,110903984.55547127
Nordeste-Oriental,2029,108537312.03079468
Nordeste-Oriental,2030,104650885.60997997
Nordeste-Oriental,2031,101961959.80261068
Nordeste-Oriental,2032,102317568.53859928
Nordeste-Oriental,2033,107616607.76769167
Nordeste-Oriental,2034,123107289.73752013
Nordeste-Oriental,2035,191694114.58148324
Oriental-Surocciden,2023,4121202851.027711
Oriental-Surocciden,2024,213889517.81508145
Oriental-Surocciden,2025,118486740.80336383
Oriental-Surocciden,2026,114617778.86924054
Oriental-Surocciden,2027,113065810.87262878
Oriental-Surocciden,2028,109103593.25559747
Oriental-Surocciden,2029,106427790.54498832
Oriental-Surocciden,2030,101883242.9242878
Oriental-Surocciden,2031,98867630.29344384
Oriental-Surocciden,2032,99142759.02032681
Oriental-Surocciden,2033,105058909.22879879
Oriental-Surocciden,2034,121721101.93163508
Oriental-Surocciden,2035,196453791.91701433
