PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,0.0,0.0
2023,FuelCostsPerTP,timepoint,620299171.6266886,642009642.6336241
2023,GenVariableOMCostsInTP,timepoint,186771812.84540415,193308826.29499373
2023,StorageEnergyFixedCost,annual,0.0,0.0
2023,TotalGenFixedCosts,annual,4268421178.670166,4417815919.923632
2023,TxFixedCosts,annual,1299348312132807.2,1344825503057458.5
2024,EmissionsCosts,annual,0.0,0.0
2024,FuelCostsPerTP,timepoint,383402526.68329453,410710371.6463131
2024,GenVariableOMCostsInTP,timepoint,197221651.82790172,211268763.9793445
2024,StorageEnergyFixedCost,annual,0.0,0.0
2024,TotalGenFixedCosts,annual,7148428368.058939,7657575178.573954
2024,TxFixedCosts,annual,1321631715723084.0,1415764934675463.8
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,361565542.0922756,400874179.50177175
2025,GenVariableOMCostsInTP,timepoint,191353085.7171607,212156586.5710237
2025,StorageEnergyFixedCost,annual,0.0,0.0
2025,TotalGenFixedCosts,annual,7140825174.264934,7917160512.957539
2025,TxFixedCosts,annual,1318967367260063.5,1462362696622925.2
2026,EmissionsCosts,annual,0.0,0.0
2026,FuelCostsPerTP,timepoint,335543696.0845765,385044108.971777
2026,GenVariableOMCostsInTP,timepoint,190555019.39162686,218666267.63643515
2026,StorageEnergyFixedCost,annual,0.0,0.0
2026,TotalGenFixedCosts,annual,7440156418.9994545,8537750619.049626
2026,TxFixedCosts,annual,1312184074708822.2,1505761406782210.0
2027,EmissionsCosts,annual,0.0,0.0
2027,FuelCostsPerTP,timepoint,319819141.484503,379844814.62488526
2027,GenVariableOMCostsInTP,timepoint,184670610.94536,219330755.67524642
2027,StorageEnergyFixedCost,annual,0.0,0.0
2027,TotalGenFixedCosts,annual,7415180898.266781,8806908806.765766
2027,TxFixedCosts,annual,1303788935536126.5,1548492264190176.8
2028,EmissionsCosts,annual,0.0,0.0
2028,FuelCostsPerTP,timepoint,302754635.59815055,372162748.3845201
2028,GenVariableOMCostsInTP,timepoint,178739223.5473082,219716142.57221207
2028,StorageEnergyFixedCost,annual,0.0,0.0
2028,TotalGenFixedCosts,annual,7404536271.757503,9102065651.169088
2028,TxFixedCosts,annual,1292969547112917.2,1589389702589812.5
2029,EmissionsCosts,annual,0.0,0.0
2029,FuelCostsPerTP,timepoint,286909504.4028563,365029012.7423897
2029,GenVariableOMCostsInTP,timepoint,172630633.28854272,219634374.85127425
2029,StorageEnergyFixedCost,annual,0.0,0.0
2029,TotalGenFixedCosts,annual,7385531795.766048,9396458948.256334
2029,TxFixedCosts,annual,1280143365667745.5,1628699857507282.5
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,276365984.48536444,363921225.8796164
2030,GenVariableOMCostsInTP,timepoint,167419527.6505046,220459546.97432926
2030,StorageEnergyFixedCost,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,7297027355.84058,9608791565.140062
2030,TxFixedCosts,annual,1265386121500561.8,1666271880040014.0
2031,EmissionsCosts,annual,0.0,0.0
2031,FuelCostsPerTP,timepoint,266937255.59113145,363808079.13087374
2031,GenVariableOMCostsInTP,timepoint,162219509.5226332,221088540.17506576
2031,StorageEnergyFixedCost,annual,0.0,0.0
2031,TotalGenFixedCosts,annual,7207258475.068079,9822753499.910267
2031,TxFixedCosts,annual,1249509141557560.2,1702952701899381.0
2032,EmissionsCosts,annual,0.0,0.0
2032,FuelCostsPerTP,timepoint,257972129.33458042,363895165.91415155
2032,GenVariableOMCostsInTP,timepoint,157480984.7993233,222142481.97931954
2032,StorageEnergyFixedCost,annual,0.0,0.0
2032,TotalGenFixedCosts,annual,7105386895.566167,10022849948.619213
2032,TxFixedCosts,annual,1233427554838597.2,1739871380171269.0
2033,EmissionsCosts,annual,0.0,0.0
2033,FuelCostsPerTP,timepoint,248960627.28230843,363474976.6179578
2033,GenVariableOMCostsInTP,timepoint,153240990.45499036,223727205.5045886
2033,StorageEnergyFixedCost,annual,0.0,0.0
2033,TotalGenFixedCosts,annual,6991918217.138862,10207988862.46145
2033,TxFixedCosts,annual,1218193525902054.0,1778525657558308.8
2034,EmissionsCosts,annual,0.0,0.0
2034,FuelCostsPerTP,timepoint,239155817.89173618,361380860.63823724
2034,GenVariableOMCostsInTP,timepoint,149291792.57660922,225590148.56156874
2034,StorageEnergyFixedCost,annual,0.0,0.0
2034,TotalGenFixedCosts,annual,6875360021.310218,10389141036.174097
2034,TxFixedCosts,annual,1205942154284968.5,1822261391912768.5
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,230232256.6094838,360073133.01326114
2035,GenVariableOMCostsInTP,timepoint,144846006.71881354,226532790.0258902
2035,StorageEnergyFixedCost,annual,0.0,0.0
2035,TotalGenFixedCosts,annual,6778312874.761613,10600983499.455484
2035,TxFixedCosts,annual,1207659583065113.5,1888726523778648.5
