PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2023,4.28852e+06,6.38462,-3.04774e+11,0,0
2024,4.3939e+06,6,-1.46661e+10,0,0
2025,4.39391e+06,5.61538,-1.51961e+10,0,0
2026,4.39391e+06,5.23077,-1.55398e+10,0,0
2027,4.39391e+06,4.84615,-1.60962e+10,0,0
2028,4.39391e+06,4.46154,-1.65091e+10,0,0
2029,4.39391e+06,4.07692,-1.71485e+10,0,0
2030,4.39391e+06,3.69231,-1.79111e+10,0,0
2031,4.39391e+06,3.30769,-1.8642e+10,0,0
2032,4.39391e+06,2.92308,-1.93979e+10,0,0
2033,4.39391e+06,2.53846,-2.00776e+10,0,0
2034,4.39391e+06,2.15385,-2.06596e+10,0,0
2035,4.39391e+06,1.76923,-2.18619e+10,0,0
