load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q1_labor_0h,4539.53,0,-2253.74,1093.78,0
Antioquia,2023_Q1_labor_1h,4415.44,0,-2183.65,1032.55,0
Antioquia,2023_Q1_labor_2h,4340.53,0,-2139.85,997.272,0
Antioquia,2023_Q1_labor_3h,4286.13,0,-2107.51,972.263,0
Antioquia,2023_Q1_labor_4h,4259.83,0,-2091.8,960.252,0
Antioquia,2023_Q1_labor_5h,4297.64,0,-2049.54,975.055,0
Antioquia,2023_Q1_labor_6h,4379.1,0,-2096.58,1015.18,0
Antioquia,2023_Q1_labor_7h,4413.89,0,-2111.09,1038.83,0
Antioquia,2023_Q1_labor_8h,4526.47,0,-2169.88,1101.54,0
Antioquia,2023_Q1_labor_9h,4646.7,0,-2231.52,1169.83,0
Antioquia,2023_Q1_labor_10h,4717.56,0,-2265.91,1212.36,0
Antioquia,2023_Q1_labor_11h,4794.06,0,-2305.13,1254.44,0
Antioquia,2023_Q1_labor_12h,4859.24,0,-2339.68,1287.89,0
Antioquia,2023_Q1_labor_13h,4854.47,0,-2340.05,1282.28,0
Antioquia,2023_Q1_labor_14h,4870.37,0,-2353.39,1285.08,0
Antioquia,2023_Q1_labor_15h,4909.79,0,-2381.13,1297.82,0
Antioquia,2023_Q1_labor_16h,4920.47,0,-2394.46,1294.92,0
Antioquia,2023_Q1_labor_17h,4889.55,0,-2383.5,1273.13,0
Antioquia,2023_Q1_labor_18h,4931.07,0,-2426.42,1248.43,0
Antioquia,2023_Q1_labor_19h,4978.29,0,-2486.17,1313.53,0
Antioquia,2023_Q1_labor_20h,5001.2,0,-2494.61,1327.9,0
Antioquia,2023_Q1_labor_21h,4943.19,0,-2469.72,1294.47,0
Antioquia,2023_Q1_labor_22h,4831.88,0,-2413.21,1238.16,0
Antioquia,2023_Q1_labor_23h,4674.5,0,-2326.74,1163.49,0
Antioquia,2023_Q1_holidays_0h,4636.84,0,-2279.83,1026.58,0
Antioquia,2023_Q1_holidays_1h,4587.59,0,-2248.96,1003.05,0
Antioquia,2023_Q1_holidays_2h,4516.28,0,-2203.68,969.7,0
Antioquia,2023_Q1_holidays_3h,4456.99,0,-2165.8,942.278,0
Antioquia,2023_Q1_holidays_4h,4411.9,0,-2136.85,921.532,0
