PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2023,1299353387624968.2,1344830756191845.2,16905531.32936206,79549747.94883263
2024,1321639444775630.0,1415773214229777.2,17246399.475127313,82090944.04148526
2025,1318975061003867.8,1462371226814206.8,17370634.300191503,84186403.4175243
2026,1312192040963957.2,1505770548243206.2,17363197.690355655,86721960.72959433
2027,1303796855206775.2,1548501670274551.5,17335972.378804754,89323035.15710345
2028,1292977433143048.5,1589399396534355.0,17277511.153401095,91992381.45023452
2029,1280151210739679.0,1628709838629618.5,17187453.599177156,94761555.52836475
2030,1265393862313430.5,1666282073212353.2,17071572.17763506,97605660.2095089
2031,1249516777972799.0,1702963109549498.5,16941034.81603301,100522968.52243127
2032,1233435075678606.8,1739881989058865.5,16800564.93922308,103560921.63287243
2033,1218200920021888.8,1778536452749353.0,16675955.838257777,106652744.22645424
2034,1205949418092599.5,1822272368024813.0,16588850.89166015,109849222.22315827
2035,1207666736456253.0,1888737711368073.2,16692297.442446688,113150254.95323488
