generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2023,970.3684923904585,1348812.2044227375,0.0,80.0,8978400.293696908,3502400.0,14.251918324399657,1.3846582368585305,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2024,864.0072585880846,1200970.0894374375,0.0,80.0,8978400.293696908,3502400.0,15.835249353682952,1.2328870699030885,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2025,865.9106512426641,1203615.805227303,0.0,80.0,8978400.293696908,3502400.0,15.803496676343887,1.2356030982343948,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2026,858.7218649251329,1193623.3922459346,0.0,80.0,8978400.293696908,3502400.0,15.924159200412394,1.2253451268908857,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2027,860.4793034810002,1196066.2318385902,0.0,80.0,8978400.293696908,3502400.0,15.89447470753431,1.2278528873872718,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2028,861.3789388849683,1197316.725050106,0.0,80.0,8978400.293696908,3502400.0,15.879326044879814,1.2291366137057194,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2029,861.1916611197373,1197056.4089564346,0.0,80.0,8978400.293696908,3502400.0,15.882476944643358,1.2288693794516798,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2030,862.7924632672332,1199281.523941454,0.0,80.0,8978400.293696908,3502400.0,15.85558798906803,1.2311536290913714,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2031,864.1071044054252,1201108.8751235409,0.0,80.0,8978400.293696908,3502400.0,15.833580234518147,1.2330295439575127,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2032,866.13219262899,1203923.7477542958,0.0,80.0,8978400.293696908,3502400.0,15.79980995731571,1.2359192246418234,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2033,868.7751243256416,1207597.4228126416,0.0,80.0,8978400.293696908,3502400.0,15.755973362076547,1.239690531286589,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2034,871.4784832966683,1211355.0917823687,0.0,80.0,8978400.293696908,3502400.0,15.711409573399875,1.2435480640648804,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2035,871.7263620108397,1211699.643195067,0.0,80.0,8978400.293696908,3502400.0,15.707337225992612,1.2439017722757415,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2023,57.934793738367965,410178.33966764517,35916.924497714295,60.0,6771600.221509176,8593200.0,272.2885082221267,0.1102260154839573,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2024,158.66695564771294,1123362.0459858077,98366.26142170894,60.0,6771600.221509176,8593200.0,103.91679981623601,0.3018777694971707,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2025,158.5738097390659,1122702.5729525862,98308.51521511577,60.0,6771600.221509176,8593200.0,103.97368154042616,0.30170055125393047,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2026,158.77164591228228,1124103.2530589586,98431.16460139683,60.0,6771600.221509176,8593200.0,103.8529479229426,0.30207695188790384,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2027,158.8303645543914,1124518.981045091,98467.56747606253,60.0,6771600.221509176,8593200.0,103.81717153905737,0.3021886692435148,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2028,159.07508763972464,1126251.6204892504,98619.28460512412,60.0,6771600.221509176,8593200.0,103.66834987605087,0.3026542763312873,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2029,159.00510821175402,1125756.1661392185,98575.90055784222,60.0,6771600.221509176,8593200.0,103.71085918627976,0.30252113434504185,,
