TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Antioquia-Caribe,2023,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,4209343265.9053054,4209343265.9053054,167413340191908.9
Antioquia-Caribe,2024,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,4446453078.483548,4446453078.483548,176843634470240.66
Antioquia-Caribe,2025,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,4604201223.947089,4604201223.947089,183117568970911.7
Antioquia-Caribe,2026,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,4743167438.238409,4743167438.238409,188644511450697.97
Antioquia-Caribe,2027,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,4880862934.73141,4880862934.73141,194120915141504.78
Antioquia-Caribe,2028,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,5012933342.893315,5012933342.893315,199373598701427.75
Antioquia-Caribe,2029,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,5138301722.960618,5138301722.960618,204359730251096.44
Antioquia-Caribe,2030,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,5251342367.491263,5251342367.491263,208855565036443.06
Antioquia-Caribe,2031,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,5360134235.09367,5360134235.09367,213182418132164.06
Antioquia-Caribe,2032,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,5472702241.618689,5472702241.618689,217659455232877.9
Antioquia-Caribe,2033,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,5590091230.834747,5590091230.834747,222328231701072.56
Antioquia-Caribe,2034,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,5721881404.667103,5721881404.667103,227569769825191.75
Antioquia-Caribe,2035,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,5932867934.619844,5932867934.619844,235961093004032.56
Antioquia-Nordeste,2023,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,4165983653.4354525,4165983653.4354525,165073481362616.53
Antioquia-Nordeste,2024,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,4360454710.247505,4360454710.247505,172779227962404.56
Antioquia-Nordeste,2025,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,4488336643.029968,4488336643.029968,177846438399097.75
Antioquia-Nordeste,2026,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,4608227434.562303,4608227434.562303,182597006809331.84
Antioquia-Nordeste,2027,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,4727776545.789495,4727776545.789495,187334036434449.44
Antioquia-Nordeste,2028,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,4842634166.8711195,4842634166.8711195,191885169840202.66
Antioquia-Nordeste,2029,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,4953384910.811433,4953384910.811433,196273571808763.22
Antioquia-Nordeste,2030,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,5059177977.491181,5059177977.491181,200465530124886.78
Antioquia-Nordeste,2031,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,5161798973.53768,5161798973.53768,204531797899203.47
Antioquia-Nordeste,2032,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,5264661970.519834,5264661970.519834,208607654750258.1
Antioquia-Nordeste,2033,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,5372674490.285898,5372674490.285898,212887556965867.94
Antioquia-Nordeste,2034,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,5497002470.814604,5497002470.814604,217813945133457.75
Antioquia-Nordeste,2035,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,5699063922.898924,5699063922.898924,225820454548644.3
Antioquia-Oriental,2023,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,3676505174.8164396,3676505174.8164396,251213976961259.84
Antioquia-Oriental,2024,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,3832360444.3844247,3832360444.3844247,261863498786153.66
Antioquia-Oriental,2025,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,4000698627.8061643,4000698627.8061643,273365972608707.3
Antioquia-Oriental,2026,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,4151657956.705726,4151657956.705726,283680956967230.7
Antioquia-Oriental,2027,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,4298874348.493314,4298874348.493314,293740188083828.6
Antioquia-Oriental,2028,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,4438171453.435718,4438171453.435718,303258297823336.44
Antioquia-Oriental,2029,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,4565640499.663868,4565640499.663868,311968201528022.8
Antioquia-Oriental,2030,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,4685365408.065613,4685365408.065613,320148951710817.4
Antioquia-Oriental,2031,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,4802629127.534741,4802629127.534741,328161529939428.25
Antioquia-Oriental,2032,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,4920396740.858437,4920396740.858437,336208539012864.0
Antioquia-Oriental,2033,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,5044187252.600944,5044187252.600944,344667090078675.4
Antioquia-Oriental,2034,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,5182741829.126667,5182741829.126667,354134463178986.06
Antioquia-Oriental,2035,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,5374191292.792391,5374191292.792391,367216120586681.1
