GENERATION_PROJECT,Values_Name,Values_Code,Value
AMOYA,AMOYA LA ESPERANZA,MOY1,80000.0
BARRANQUILL3,BARRANQUILLA 3,TBQ3,60000.0
BARRANQUILL4,BARRANQUILLA 4,TBQ4,60000.0
BETANIA,BETANIA,CHBG,540000.0
CALDERAS,CALDERAS,CLDR,19900.0
CALIMA,CALIMA,CLMG,132000.0
CAMPOALEGRE,AGPE CAMPOALEGRE,3EPL,45.6
CANDELARIA,TERMOCANDELARIA CC,TCDT,555000.0
CARTAGENA1,CARTAGENA 1,CTG1,52000.0
CARTAGENA2,CARTAGENA 2,CTG2,60000.0
CARTAGENA3,CARTAGENA 3,CTG3,66000.0
CHARQUITO,CHARQUITO,CQT1,19400.0
CHIVOR,CHIVOR,CHVR,1000000.0
CUCUANA,CUCUANA,CUC1,56000.0
C_LLERAS_R,CARLOS LLERAS,CLL1,78000.0
DARIO VALENC,DARIO VALENCIA SAMPER,DVS1,150000.0
DST_Antioquia,DST_Antioquia,XXXX,-1.0
DST_Caribe,DST_Caribe,XXXX,-1.0
DST_Nordeste,DST_Nordeste,XXXX,-1.0
DST_Oriental,DST_Oriental,XXXX,-1.0
DST_Surocciden,DST_Surocciden,XXXX,-1.0
EL QUIMBO,EL QUIMBO,QUI1,400000.0
ELTESORITO,TESORITO,3ENA,200000.0
ESCUELAMINAS,ESCUELA DE MINAS,HMIN,55000.0
ESMERALDA,ESMERALDA,ESMR,30000.0
E_Apoto,FUTURA - APOTOLORRU,APLU,-1.0
E_Camelia,CAMELIAS,XXXX,-1.0
E_CasaElec,FUTURA - CASA ELECTRICA,CELE,-1.0
E_GuajiraI,PARQUE EOLICO GUAJIRA I,3EE4,-1.0
E_Jepirachi,JEPIRACHI 1 - 15,JPR1,18420.0
E_ParqueAlph,FUTURA - PARQUE ALPHA,APHA,-1.0
E_ParqueBeta,FUTURA - PARQUE BETA,BETA,-1.0
E_Wesp01,PARQUE EÓLICO WESP01,3EXH,-1.0
E_Windpeshi,WINDPLESHI,XXXX,-1.0
FLORES 1,FLORES I CC,TFL1,160000.0
FLORES4,FLORES 4 CC,TFL4,445000.0
GUAJIRA1,GUAJIRA 1,TGJ1,145000.0
GUAJIRA2,GUAJIRA 2,TGJ2,130000.0
GUATAPE,GUATAPE,GTPE,560000.0
GUAVIO,GUAVIO,GVIO,1250000.0
H_ALBAN,ALBAN,ALBG,427000.0
H_AguaFresca,AGUA FRESCA,AFR1,7290.0
H_Alejandria,ALEJANDRIA,2SDR,15000.0
H_Amaime,AMAIME,AMA1,19170.0
H_Amalfi,AMALFI,AMF1,810.0
H_America,AMERICA,AMR1,410.0
H_Asnazu,ASNAZU,ASN1,450.0
H_AuresBajo,AURES BAJO,2UX3,19400.0
H_AutCemNare,AUTOG CEMENTOS DEL NARE,CMN1,9000.0
H_AutGold,AUTOG GRAN COLOMBIA GOLD,3ED1,1000.0
H_Ayura,AUTOG AYURA,AYR1,16700.0
H_Barrancas,HIDROBARRANCAS,2YNA,4700.0
H_Barroso,BARROSO,BAR1,19900.0
H_Bayona,BAYONA,BYN1,600.0
H_Bello,BELLO,BLL3,350.0
H_Belmonte,BELMONTE,BLM1,3400.0
H_CampestreC,CAMPESTRE (CALARCA),CPT1,700.0
H_CampestreE,CAMPESTRE (EPM),CMP2,870.0
H_Cantayus,AUTOG CANTAYUS,2T7D,4320.0
H_Caracoli,CARACOLI,CRC1,3750.0
H_Caruquia,CARUQUIA,GCA1,9500.0
H_Cascada,CASCADA,CSC1,3000.0
H_CascadaAbe,LA CASCADA ( ABEJORRAL),ABJ1,3000.0
H_CascadaAnt,LA CASCADA (ANTIOQUIA),LCS1,2300.0
H_CascadaGra,LA CASCADA DE GRANADA,3IRZ,2090.0
H_Cauya,CAUYA,3AQP,1510.0
H_Chorrera,LA CHORRERA,3CG9,15000.0
H_Coconuco,COCONUCO,CCN1,4500.0
H_Cocuyo,EL COCUYO,2S9L,700.0
H_Coello,COELLO,COE1,1200.0
H_Currucucue,CURRUCUCUES,CUR1,1250.0
H_ElBosque,EL BOSQUE,BSQ1,2280.0
H_ElEden,EL EDEN,2SW1,19900.0
H_ElLimonar,EL LIMONAR,LMR1,18000.0
H_ElMolino,EL MOLINO,2T1L,19900.0
H_ElPopal,EL POPAL,2QBW,19900.0
H_Florida,FLORIDA,FLRD,19900.0
H_Frisolera,LA FRISOLERA,2S78,470.0
H_GUATRON,GUATRON,GTRG,512000.0
H_Guacaica,GUACAICA,GCC1,860.0
H_Guanaquita,GUANAQUITAS,GQA1,9500.0
H_Guaviomeno,GUAVIO MENOR,2S8N,9900.0
H_Herradura,LA HERRADURA,HRD1,19800.0
H_Intermedia,INTERMEDIA,INT1,960.0
H_Inza,INZA,INZ1,750.0
H_IquiraI,IQUIRA I,IQU1,4320.0
H_IquiraII,IQUIRA II,IQU2,1380.0
H_JuanGarcia,JUAN GARCIA,2V5G,4520.0
H_LAGUNETA,LAGUNETA,2R22,18000.0
H_LaPita,LA PITA,PTA1,1420.0
H_LaRebusca,LA REBUSCA,2QRL,700.0
H_La_Vuelta,LA VUELTA,VLT1,11600.0
H_LasPalmas,LAS PALMAS,2U1G,2800.0
H_Libertad,PCH LA LIBERTAD,2YIR,1200.0
H_LuzMaI,LUZMA I,2TUT,19600.0
H_LuzMaII,LUZMA II,2TUV,19600.0
H_Magallo,MAGALLO,2SS2,5700.0
H_Manantiale,MANANTIALES,MNT1,3150.0
H_Mirolindo,MIROLINDO,MIR1,3750.0
H_Mondomo,MONDOMO,MND1,750.0
H_Montanitas,HIDROMONTAÑITAS,HMO1,19900.0
H_MorroAzul,MORRO AZUL,2SI1,19900.0
H_Municipal,MUNICIPAL,MNC1,1400.0
