year,Tech,Energy_GWh_typical_yr
2024,PCH,3236
2025,PCH,3236
2026,PCH,3236
2027,PCH,3236
2028,PCH,3236
2029,PCH,3236
2030,PCH,3236
2031,PCH,3236
2032,PCH,3236
2033,PCH,3236
2034,PCH,3236
2035,PCH,3236
2036,PCH,3236
2037,PCH,3236
2024,Minors,1191
2025,Minors,1191
2026,Minors,1191
2027,Minors,1191
2028,Minors,1191
2029,Minors,1191
2030,Minors,1191
2031,Minors,1191
2032,Minors,1191
2033,Minors,1191
2034,Minors,1191
2035,Minors,1191
2036,Minors,1191
2037,Minors,1383
2024,Thermal,543
2025,Thermal,543
2026,Thermal,543
2027,Thermal,543
2028,Thermal,543
2029,Thermal,543
2030,Thermal,543
2031,Thermal,2
2032,Thermal,3
2033,Thermal,29
2034,Thermal,122
2035,Thermal,239
2036,Thermal,359
2037,Thermal,489
2024,Thermal,2514
2025,Thermal,3210
2026,Thermal,4635
2027,Thermal,4670
2028,Thermal,5060
2029,Thermal,5639
2030,Thermal,6716
2031,Thermal,8395
2032,Thermal,9428
2033,Thermal,9596
2034,Thermal,9611
2035,Thermal,9678
2036,Thermal,9685
2037,Thermal,9690
2024,Thermal,7569
2025,Thermal,7449
2026,Thermal,7055
2027,Thermal,7244
2028,Thermal,7328
2029,Thermal,7752
2030,Thermal,8433
2031,Thermal,8599
2032,Thermal,12475
2033,Thermal,16435
2034,Thermal,18857
2035,Thermal,21450
2036,Thermal,23745
2037,Thermal,25465
2024,Hidro,64919
2025,Hidro,66128
2026,Hidro,66534
2027,Hidro,66778
2028,Hidro,67054
2029,Hidro,65906
2030,Hidro,66412
2031,Hidro,67994
2032,Hidro,65973
2033,Hidro,64781
2034,Hidro,65564
2035,Hidro,66333
2036,Hidro,67345
2037,Hidro,68775
2024,Eolica,63
2025,Eolica,206
2026,Eolica,206
2027,Eolica,1513
2028,Eolica,3619
2029,Eolica,5922
2030,Eolica,5922
2031,Eolica,5922
2032,Eolica,5922
2033,Eolica,5922
2034,Eolica,5922
2035,Eolica,5922
2036,Eolica,5922
2037,Eolica,5922
2024,pv_solar,2496
2025,pv_solar,3487
2026,pv_solar,3711
2027,pv_solar,3965
2028,pv_solar,4133
2029,pv_solar,4294
2030,pv_solar,4436
2031,pv_solar,4579
2032,pv_solar,4698
2033,pv_solar,4802
2034,pv_solar,4908
2035,pv_solar,4996
2036,pv_solar,5064
2037,pv_solar,5155
