,timestamp,Values_Type,GeneReal
0,2023_Q1_holidays_0h,COGENERADOR,98698.70846153845
1,2023_Q1_holidays_0h,EOLICA,20023.81076923077
2,2023_Q1_holidays_0h,HIDRAULICA,6558009.311538462
3,2023_Q1_holidays_0h,SOLAR,0.0
4,2023_Q1_holidays_0h,TERMICA,1396064.7761538462
5,2023_Q1_holidays_10h,COGENERADOR,98333.99
6,2023_Q1_holidays_10h,EOLICA,18291.04076923077
7,2023_Q1_holidays_10h,HIDRAULICA,6254597.437692308
8,2023_Q1_holidays_10h,SOLAR,233693.73230769232
9,2023_Q1_holidays_10h,TERMICA,1232471.363846154
10,2023_Q1_holidays_11h,COGENERADOR,97999.38692307692
11,2023_Q1_holidays_11h,EOLICA,19067.581538461538
12,2023_Q1_holidays_11h,HIDRAULICA,6462063.486923077
13,2023_Q1_holidays_11h,SOLAR,265896.07153846155
14,2023_Q1_holidays_11h,TERMICA,1287986.1761538463
15,2023_Q1_holidays_12h,COGENERADOR,94943.14076923077
16,2023_Q1_holidays_12h,EOLICA,21159.05538461538
17,2023_Q1_holidays_12h,HIDRAULICA,6688695.650769232
18,2023_Q1_holidays_12h,SOLAR,269044.3753846154
19,2023_Q1_holidays_12h,TERMICA,1317376.7915384616
20,2023_Q1_holidays_13h,COGENERADOR,94309.91538461538
21,2023_Q1_holidays_13h,EOLICA,23371.758461538462
22,2023_Q1_holidays_13h,HIDRAULICA,6767060.144615384
23,2023_Q1_holidays_13h,SOLAR,269341.3076923077
24,2023_Q1_holidays_13h,TERMICA,1346459.783076923
25,2023_Q1_holidays_14h,COGENERADOR,95104.54692307691
26,2023_Q1_holidays_14h,EOLICA,23628.488461538458
27,2023_Q1_holidays_14h,HIDRAULICA,6762384.094615385
28,2023_Q1_holidays_14h,SOLAR,253444.89615384614
29,2023_Q1_holidays_14h,TERMICA,1349952.6223076922
30,2023_Q1_holidays_15h,COGENERADOR,95506.32153846153
31,2023_Q1_holidays_15h,EOLICA,24088.775384615386
32,2023_Q1_holidays_15h,HIDRAULICA,6668752.880769231
33,2023_Q1_holidays_15h,SOLAR,239593.13923076924
34,2023_Q1_holidays_15h,TERMICA,1370808.0576923077
35,2023_Q1_holidays_16h,COGENERADOR,96912.06615384616
36,2023_Q1_holidays_16h,EOLICA,24053.477692307693
37,2023_Q1_holidays_16h,HIDRAULICA,6619398.513076923
38,2023_Q1_holidays_16h,SOLAR,206291.9523076923
39,2023_Q1_holidays_16h,TERMICA,1384136.9384615384
40,2023_Q1_holidays_17h,COGENERADOR,96817.3676923077
41,2023_Q1_holidays_17h,EOLICA,24707.456153846153
42,2023_Q1_holidays_17h,HIDRAULICA,6621313.908461539
43,2023_Q1_holidays_17h,SOLAR,118207.21846153846
44,2023_Q1_holidays_17h,TERMICA,1405310.6169230768
45,2023_Q1_holidays_18h,COGENERADOR,98874.69307692308
46,2023_Q1_holidays_18h,EOLICA,25040.03846153846
47,2023_Q1_holidays_18h,HIDRAULICA,6745857.963076923
48,2023_Q1_holidays_18h,SOLAR,20290.775384615386
49,2023_Q1_holidays_18h,TERMICA,1421856.016923077
50,2023_Q1_holidays_19h,COGENERADOR,98196.07153846153
51,2023_Q1_holidays_19h,EOLICA,24550.313846153847
52,2023_Q1_holidays_19h,HIDRAULICA,7443720.403846154
53,2023_Q1_holidays_19h,SOLAR,14.471538461538461
54,2023_Q1_holidays_19h,TERMICA,1462857.6023076922
55,2023_Q1_holidays_1h,COGENERADOR,106437.17538461539
56,2023_Q1_holidays_1h,EOLICA,19798.847692307692
57,2023_Q1_holidays_1h,HIDRAULICA,6350677.928461539
58,2023_Q1_holidays_1h,SOLAR,0.0
59,2023_Q1_holidays_1h,TERMICA,1409635.8138461537
60,2023_Q1_holidays_20h,COGENERADOR,97187.16
61,2023_Q1_holidays_20h,EOLICA,22905.083076923078
62,2023_Q1_holidays_20h,HIDRAULICA,7698258.128461539
63,2023_Q1_holidays_20h,SOLAR,0.0
64,2023_Q1_holidays_20h,TERMICA,1469988.2253846154
65,2023_Q1_holidays_21h,COGENERADOR,97748.83076923077
66,2023_Q1_holidays_21h,EOLICA,22771.668461538462
67,2023_Q1_holidays_21h,HIDRAULICA,7595629.643076923
