load_zone,fuel,period,fuel_cost
Caribe,GASIMPOR,2023,12.71695593
Caribe,GASNACIO,2023,7.231771971
Nordeste,GASNACIO,2023,4.615199959
Antioquia,GASNACIO,2023,7.231771971
Caribe,CARBON,2023,4.133101495
Surocciden,CARBON,2023,2.716045919
Oriental,CARBON,2023,3.876584313
Antioquia,CARBON,2023,4.036066332
Nordeste,CARBON,2023,3.716045919
Caribe,COMBUSTOLEO,2023,12.41156192
Surocciden,ACPM,2023,7.625
Caribe,ACPM,2023,7.515
Antioquia,ACPM,2023,7.2009
Oriental,ACPM,2023,7.233
Caribe,GASIMPOR,2024,11.60055475
Caribe,GASNACIO,2024,7.846505071
Nordeste,GASNACIO,2024,4.697138542
Antioquia,GASNACIO,2024,7.846505071
Caribe,CARBON,2024,4.727565946
Surocciden,CARBON,2024,2.470331948
Oriental,CARBON,2024,3.620255154
Antioquia,CARBON,2024,3.769191835
Nordeste,CARBON,2024,3.470331948
Caribe,COMBUSTOLEO,2024,12.63259284
Surocciden,ACPM,2024,7.425
Caribe,ACPM,2024,7.315
Antioquia,ACPM,2024,7.0009
Oriental,ACPM,2024,7.033
Caribe,GASIMPOR,2025,11.50613963
Caribe,GASNACIO,2025,7.792324564
Nordeste,GASNACIO,2025,4.654301559
Antioquia,GASNACIO,2025,7.792324564
Caribe,CARBON,2025,4.906700205
Surocciden,CARBON,2025,2.972969432
Oriental,CARBON,2025,3.101405881
Antioquia,CARBON,2025,3.22899719
Nordeste,CARBON,2025,2.972969432
Caribe,COMBUSTOLEO,2025,12.36493149
Surocciden,ACPM,2025,7.225
Caribe,ACPM,2025,7.115
Antioquia,ACPM,2025,6.8009
Oriental,ACPM,2025,6.833
Caribe,GASIMPOR,2026,11.39348985
Caribe,GASNACIO,2026,7.72768003
Nordeste,GASNACIO,2026,4.603191354
Antioquia,GASNACIO,2026,7.72768003
Caribe,CARBON,2026,4.162207264
Surocciden,CARBON,2026,2.521881193
Oriental,CARBON,2026,2.630829997
Antioquia,CARBON,2026,2.739061895
Nordeste,CARBON,2026,2.521881193
Caribe,COMBUSTOLEO,2026,12.01397326
Surocciden,ACPM,2026,7.025
Caribe,ACPM,2026,6.915
Antioquia,ACPM,2026,6.6009
Oriental,ACPM,2026,6.633
Caribe,GASIMPOR,2027,11.22522453
Caribe,GASNACIO,2027,7.631120289
Nordeste,GASNACIO,2027,4.526847883
Antioquia,GASNACIO,2027,7.631120289
Caribe,CARBON,2027,4.161483554
Surocciden,CARBON,2027,2.521442697
Oriental,CARBON,2027,2.630372558
Antioquia,CARBON,2027,2.738585636
Nordeste,CARBON,2027,2.521442697
Caribe,COMBUSTOLEO,2027,11.81800355
Surocciden,ACPM,2027,6.825
Caribe,ACPM,2027,6.715
Antioquia,ACPM,2027,6.4009
Oriental,ACPM,2027,6.433
Caribe,GASIMPOR,2028,11.0175008
Caribe,GASNACIO,2028,7.51191718
Nordeste,GASNACIO,2028,4.432601781
Antioquia,GASNACIO,2028,7.51191718
Caribe,CARBON,2028,4.114767112
Surocciden,CARBON,2028,2.493137207
Oriental,CARBON,2028,2.60084423
Antioquia,CARBON,2028,2.707842519
Nordeste,CARBON,2028,2.493137207
Caribe,COMBUSTOLEO,2028,11.50869768
Surocciden,ACPM,2028,6.625
Caribe,ACPM,2028,6.515
Antioquia,ACPM,2028,6.2009
Oriental,ACPM,2028,6.233
Caribe,GASIMPOR,2029,10.86124731
Caribe,GASNACIO,2029,7.422250478
