GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
PAIPA 1,1963,3076000,143220,.
ZIPAEMG2,1964,1420000,143220,.
PAIPA 2,1975,3076000,143220,.
ZIPAEMG3,1976,1421000,143220,.
BARRANQUILL3,1980,1254000,143220,.
BARRANQUILL4,1980,1256000,143220,.
CARTAGENA2,1980,1273000,143220,.
CARTAGENA3,1980,1275000,143220,.
H_SanJosMoII,1980,3083000,43780,.
RIOGRANDE 1,1980,3083000,43780,.
T_AutArCairo,1980,3076000,143220,.
T_TermYopal1,1980,1396000,143220,.
ZIPAEMG4,1981,1422000,143220,.
PAIPA 3,1982,3076000,143220,.
GUAJIRA1,1983,1311000,143220,.
H_Ayura,1983,3083000,43780,.
TASAJERO 1,1985,1389000,143220,.
ZIPAEMG5,1985,1423000,143220,.
GUAJIRA2,1987,1313000,143220,.
SAN CARLOS,1987,1384000,43780,.
FLORES 1,1993,1307000,143220,.
PROELECTRIC1,1993,1367000,143220,.
PROELECTRIC2,1993,1369000,143220,.
LA TASAJERA,1994,1323000,43780,.
CARTAGENA1,1995,1271000,143220,.
TERMODORADA1,1997,1403000,143220,.
MERILECTRICA,1998,1343000,143220,.
TEBSAB,1998,1393000,143220,.
TERMOSIERRA,1998,1406000,143220,.
PAIPA 4,1999,3076000,143220,.
TERMOEMCALI,1999,3076000,143220,.
CANDELARIA,2000,1267000,143220,.
TERMOCENTRO,2000,1401000,143220,.
PORCE II,2001,1363000,43780,.
MIEL I,2002,1344000,43780,.
PORCE III,2002,1364000,43780,.
H_ElLimonar,2003,3083000,43780,.
H_LAGUNETA,2014,3083000,43780,.
TERMO YOPAL2,2004,1397000,143220,.
FLORES4,2010,3076000,143220,.
TERMOVALLE,2011,3076000,143220,.
DARIO VALENC,2014,1293000,43780,.
SALTO II,2014,1382000,43780,.
EL QUIMBO,2015,1298000,43780,.
TASAJERO 2,2015,1390000,143220,.
TC_GECELCA3,2015,1391000,143220,.
TC_GECELCA32,2018,1391000,143220,.
TERMONORTE,2018,1405000,143220,.
TERMOYOPALG3,2020,3076000,143220,.
TERMOYOPALG4,2020,3076000,143220,.
TERMOYOPALG5,2021,3076000,143220,.
ELTESORITO,2022,3076000,143220,.
H_RioCali,1925,3083000,43780,.
H_SanCancio,1929,3083000,43780,.
H_PaticoCab,1930,3083000,43780,.
H_Asnazu,1934,3083000,43780,.
H_Caracoli,2023,3083000,43780,.
H_ElBosque,1935,3083000,43780,.
H_Municipal,1935,3083000,43780,.
H_Union,1935,3083000,43780,.
H_Belmonte,1939,3083000,43780,.
H_Ovejas,1939,3083000,43780,.
H_Nima,1942,3083000,43780,.
H_Bayona,1943,3083000,43780,.
H_Cascada,1954,3083000,43780,.
H_CascadaAbe,2007,3083000,43780,.
H_LasPalmas,1954,3083000,43780,.
H_RioFrioI,1954,3083000,43780,.
H_RioSapuye,1954,3083000,43780,.
H_IquiraI,1955,3083000,43780,.
H_CampestreC,1956,3083000,43780,.
H_VentanaA,1957,3083000,43780,.
H_VentanaB,1957,3083000,43780,.
H_Mondomo,1958,3083000,43780,.
H_Rio_Recio,1958,3083000,43780,.
H_RioBobo,1960,3083000,43780,.
H_RioPalo,1960,3083000,43780,.
ESMERALDA,1963,1304000,43780,.
H_IquiraII,1965,3083000,43780,.
H_LaPita,1965,3083000,43780,.
CALIMA,1967,1264000,43780,.
SANFRANCISCO,1969,1385000,43780,.
PRADO,1973,1365000,43780,.
H_Florida,1975,3083000,43780,.
CHIVOR,1977,1281000,43780,.
GUATAPE,1980,1317000,43780,.
H_AuresBajo,1980,3083000,43780,.
H_Barrancas,1980,3083000,43780,.
H_Cantayus,1980,3083000,43780,.
H_Cauya,1980,3083000,43780,.
H_Chorrera,1980,3083000,43780,.
H_PalmasSanGil,1954,3083000,43780,.
H_Cocuyo,1980,3083000,43780,.
H_Coello,1980,3083000,43780,.
H_ElEden,1980,3083000,43780,.
H_ElMolino,1980,3083000,43780,.
H_Frisolera,1980,3083000,43780,.
H_Guaviomeno,1980,3083000,43780,.
H_JuanGarcia,1980,3083000,43780,.
H_LaRebusca,1980,3083000,43780,.
H_Libertad,1980,3083000,43780,.
H_LuzMaI,1980,3083000,43780,.
H_LuzMaII,1980,3083000,43780,.
H_Magallo,1980,3083000,43780,.
H_MorroAzul,1980,1348000,43780,.
H_Naveta,1980,3083000,43780,.
H_Oibita,2023,3083000,43780,.
H_Pocune,1980,3083000,43780,.
H_Porce3Meno,1980,3083000,43780,.
H_ProvidencI,1980,1371000,43780,.
H_RioFrioTam,1980,3083000,43780,.
H_RioMulato2,1980,3083000,43780,.
H_RioNegro,1980,3083000,43780,.
H_SanAndres2,1980,3083000,43780,.
H_SanMatias,1980,3083000,43780,.
H_SBartolome,2023,3083000,43780,.
H_TuluaBajo,1980,1416000,43780,.
H_Tunjita,1980,1418000,43780,.
H_Violetas,1980,3083000,43780,.
H_Zeus,1980,3083000,43780,.
INSULA,1980,1319000,43780,.
PRADO4,1980,1366000,43780,.
TEQUEND1-4,1980,3083000,43780,.
BETANIA,1987,1259000,43780,.
JAGUAS,1988,1320000,43780,.
PLAYAS,1988,1362000,43780,.
H_Guacaica,1992,3083000,43780,.
GUAVIO,1993,1318000,43780,.
H_Niquia,1993,3083000,43780,.
