hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
AMOYA,2023_Q1_holidays,39.229088,0.53926
AMOYA,2023_Q1_labor,36.3540388,0.005849999999999999
BETANIA,2023_Q1_holidays,181.5770592,0.00064
BETANIA,2023_Q1_labor,200.6708228,0.23228000000000001
CALIMA,2023_Q1_holidays,99.5799796,0.138
CALIMA,2023_Q1_labor,98.3649824,0.00034
CHIVOR,2023_Q1_holidays,326.992312,0.88719
CHIVOR,2023_Q1_labor,368.07919200000003,0.22623
CUCUANA,2023_Q1_holidays,16.829649600000003,1.3145
CUCUANA,2023_Q1_labor,15.7724384,0.01231
C_LLERAS_R,2023_Q1_holidays,46.7647556,15.555040000000002
C_LLERAS_R,2023_Q1_labor,54.7133488,0.00875
DARIO VALENC,2023_Q1_holidays,75.0111112,2.2503200000000003
DARIO VALENC,2023_Q1_labor,64.1819912,0.0675
EL QUIMBO,2023_Q1_holidays,86.2714564,29.54363
EL QUIMBO,2023_Q1_labor,126.48693679999984,35.24369
ESCUELAMINAS,2023_Q1_holidays,17.724353999999998,10.28117
ESCUELAMINAS,2023_Q1_labor,17.5861436,0.6184299999999999
ESMERALDA,2023_Q1_holidays,29.658658799999998,5.9999999999999995e-05
ESMERALDA,2023_Q1_labor,29.8594024,0.00013000000000000002
GUATAPE,2023_Q1_holidays,528.54336,8.256
GUATAPE,2023_Q1_labor,486.67008000000004,0.84
GUAVIO,2023_Q1_holidays,456.7953084,0.00148
GUAVIO,2023_Q1_labor,779.262028,0.03893
H_ALBAN,2023_Q1_holidays,35.177,0.567
H_ALBAN,2023_Q1_labor,227.04,0.078
H_GUATRON,2023_Q1_holidays,486.22488000000004,2.24973
H_GUATRON,2023_Q1_labor,435.295838,0.05814
H_PAGUA,2023_Q1_holidays,400.3131888,4e-05
H_PAGUA,2023_Q1_labor,399.5096124,1e-05
ITUANGO,2023_Q1_holidays,271.95475480000005,266.86046000000005
ITUANGO,2023_Q1_labor,270.843568,7.16493
JAGUAS,2023_Q1_holidays,101.640896,0.28169
JAGUAS,2023_Q1_labor,101.882002,0.01774
LA TASAJERA,2023_Q1_holidays,303.59997,0.03667
LA TASAJERA,2023_Q1_labor,302.9766484,0.03667
MIEL I,2023_Q1_holidays,272.48969400000004,28.95938
MIEL I,2023_Q1_labor,257.4171112,28.70466
PLAYAS,2023_Q1_holidays,204.94,33.26
PLAYAS,2023_Q1_labor,204.96003,0.03
PORCE II,2023_Q1_holidays,268.82403999999997,4.83
PORCE II,2023_Q1_labor,268.77804,0.23
PORCE III,2023_Q1_holidays,564.27826,6.86746
PORCE III,2023_Q1_labor,589.518446,1.5637
PRADO,2023_Q1_holidays,51.0376796,0.00014000000000000001
PRADO,2023_Q1_labor,50.969582,5.9999999999999995e-05
SALTO II,2023_Q1_holidays,35.05521,0.00013000000000000002
SALTO II,2023_Q1_labor,34.9938484,2e-05
