LOAD_ZONE,timepoints,zone_demand_mw
Surocciden,2496,2810.644615384616
Oriental,2496,3340.8438461538462
Nordeste,2496,1492.683076923077
Caribe,2496,3725.206153846154
Antioquia,2496,1694.1892307692308
Oriental,2495,3515.1084615384616
Surocciden,2495,2957.254615384615
Nordeste,2495,1570.5453846153846
Caribe,2495,3919.5215384615385
Antioquia,2495,1782.563076923077
Surocciden,2494,3081.5476923076926
Caribe,2494,4084.254615384615
Nordeste,2494,1636.5553846153848
Oriental,2494,3662.8469230769233
Antioquia,2494,1857.4823076923078
Nordeste,2493,1688.4123076923076
Caribe,2493,4213.672307692307
Antioquia,2493,1916.34
Surocciden,2493,3179.1892307692306
Oriental,2493,3778.9076923076927
Antioquia,2492,1932.1492307692306
Caribe,2492,4248.436153846154
Surocciden,2492,3205.4184615384615
Oriental,2492,3810.086153846154
Nordeste,2492,1702.3415384615384
Oriental,2491,3586.663076923077
Antioquia,2491,1818.8492307692309
Caribe,2491,3999.308461538462
Nordeste,2491,1602.5153846153846
Surocciden,2491,3017.4538461538464
Antioquia,2490,1806.6153846153845
Caribe,2490,3972.4100000000003
Nordeste,2490,1591.7392307692307
Oriental,2490,3562.54
Surocciden,2490,2997.1584615384613
Antioquia,2489,1826.4376923076923
Caribe,2489,4015.995384615385
Nordeste,2489,1609.2023076923078
Oriental,2489,3601.6284615384616
Surocciden,2489,3030.0430769230766
Oriental,2488,3637.7669230769234
Nordeste,2488,1625.3507692307694
Caribe,2488,4056.290769230769
Antioquia,2488,1844.7630769230768
Surocciden,2488,3060.4469230769228
Surocciden,2487,3093.230769230769
Oriental,2487,3676.7353846153846
Nordeste,2487,1642.7607692307693
Caribe,2487,4099.743846153846
Antioquia,2487,1864.526923076923
Caribe,2486,4144.677692307692
Antioquia,2486,1884.9607692307693
Nordeste,2486,1660.7669230769231
Oriental,2486,3717.0323076923078
Surocciden,2486,3127.133846153846
Antioquia,2485,1894.1776923076925
Caribe,2485,4164.943846153846
Nordeste,2485,1668.8861538461538
Oriental,2485,3735.2076923076925
Surocciden,2485,3142.423846153846
Antioquia,2484,1861.0938461538462
Caribe,2484,4092.1992307692312
Nordeste,2484,1639.7369230769232
Oriental,2484,3669.9692307692308
Surocciden,2484,3087.5384615384614
Oriental,2483,3551.067692307692
Nordeste,2483,1586.6123076923077
Antioquia,2483,1800.7976923076922
Caribe,2483,3959.616923076923
Surocciden,2483,2987.507692307692
Caribe,2482,3801.4815384615385
Surocciden,2482,2868.1923076923076
Oriental,2482,3409.2461538461534
Nordeste,2482,1523.2453846153844
Antioquia,2482,1728.8769230769233
Surocciden,2481,2698.1892307692306
Antioquia,2481,1626.4023076923077
Caribe,2481,3576.1561538461538
Nordeste,2481,1432.9592307692308
Oriental,2481,3207.1715384615386
Caribe,2480,3361.6499999999996
Antioquia,2480,1528.8476923076923
Surocciden,2480,2536.3453846153843
Oriental,2480,3014.796923076923
Nordeste,2480,1347.0084615384617
Nordeste,2479,1323.1284615384614
Antioquia,2479,1501.746153846154
Oriental,2479,2961.355384615385
Surocciden,2479,2491.3830769230767
Caribe,2479,3302.06
Surocciden,2478,2478.0676923076926
Oriental,2478,2945.527692307692
Nordeste,2478,1316.0576923076924
Caribe,2478,3284.409230769231
Antioquia,2478,1493.7192307692308
Surocciden,2477,2479.1476923076925
Oriental,2477,2946.81
Antioquia,2477,1494.3723076923077
Caribe,2477,3285.8415384615387
Nordeste,2477,1316.6299999999999
Oriental,2476,2995.7400000000002
Nordeste,2476,1338.4930769230768
Surocciden,2476,2520.312307692308
Antioquia,2476,1519.1823076923076
Caribe,2476,3340.3999999999996
Surocciden,2475,2589.7084615384615
Oriental,2475,3078.2284615384615
Nordeste,2475,1375.3484615384614
Antioquia,2475,1561.0146153846154
Caribe,2475,3432.3776923076925
Antioquia,2474,1619.309230769231
Surocciden,2474,2686.4184615384615
Oriental,2474,3193.179230769231
Nordeste,2474,1426.71
Caribe,2474,3560.5561538461543
Oriental,2473,3170.596153846154
Antioquia,2473,1607.8546153846155
Caribe,2473,3535.3715384615384
Surocciden,2473,2667.416923076923
Nordeste,2473,1416.616923076923
Antioquia,2472,1775.24
Caribe,2472,3903.420384615384
Nordeste,2472,1564.0938461538462
Oriental,2472,3500.6683333333335
Surocciden,2472,2945.1066666666666
Nordeste,2471,1661.1965384615385
Antioquia,2471,1885.4503846153846
Surocciden,2471,3127.946282051282
Oriental,2471,3717.998846153846
Caribe,2471,4145.754102564103
Oriental,2470,3871.637307692308
Antioquia,2470,1963.3624358974357
Caribe,2470,4317.068717948718
Nordeste,2470,1729.8425641025642
Surocciden,2470,3257.201794871795
Antioquia,2469,2000.0942307692308
Nordeste,2469,1762.204358974359
Caribe,2469,4397.833461538462
Surocciden,2469,3318.13858974359
Oriental,2469,3944.0691025641026
Surocciden,2468,3312.1607692307693
Nordeste,2468,1759.03
Caribe,2468,4389.910641025642
Antioquia,2468,1996.490512820513
Oriental,2468,3936.963205128205
Surocciden,2467,3147.9673076923077
Oriental,2467,3741.7971794871796
Nordeste,2467,1671.8300000000002
Caribe,2467,4172.290641025641
Antioquia,2467,1897.519487179487
Antioquia,2466,1915.6432051282052
Oriental,2466,3777.5362820512823
Nordeste,2466,1687.7983333333332
Surocciden,2466,3178.034871794872
Caribe,2466,4212.142307692307
Surocciden,2465,3219.060769230769
Oriental,2465,3826.3007692307697
Nordeste,2465,1709.5856410256408
Caribe,2465,4266.516025641025
Antioquia,2465,1940.3728205128205
Antioquia,2464,1943.3908974358974
Surocciden,2464,3224.066923076923
Oriental,2464,3832.2519230769235
Nordeste,2464,1712.2453846153849
Caribe,2464,4273.152435897436
Surocciden,2463,3187.9341025641024
Oriental,2463,3789.3021794871797
Nordeste,2463,1693.0547435897436
Caribe,2463,4225.260897435897
Antioquia,2463,1921.6101282051281
Antioquia,2462,1906.873076923077
Surocciden,2462,3163.4866666666667
Oriental,2462,3760.2426923076923
Nordeste,2462,1680.071282051282
Caribe,2462,4192.858717948718
Oriental,2461,3765.5830769230765
Surocciden,2461,3167.978974358974
Antioquia,2461,1909.581282051282
Nordeste,2461,1682.457307692308
Caribe,2461,4198.8134615384615
Caribe,2460,4087.6139743589747
Surocciden,2460,3084.0794871794874
Oriental,2460,3665.8573076923076
Nordeste,2460,1637.8999999999999
Antioquia,2460,1859.0091025641025
Surocciden,2459,2975.7352564102566
Oriental,2459,3537.0748717948723
Nordeste,2459,1580.3603846153846
Caribe,2459,3944.0146153846154
Antioquia,2459,1793.701923076923
Surocciden,2458,2874.1747435897437
Oriental,2458,3416.356153846154
Nordeste,2458,1526.4234615384614
Caribe,2458,3809.407564102564
Antioquia,2458,1732.4842307692306
Oriental,2457,3237.8233333333333
Surocciden,2457,2723.975512820513
Nordeste,2457,1446.6553846153845
Caribe,2457,3610.3344871794875
Antioquia,2457,1641.9470512820512
Nordeste,2456,1366.6748717948717
Antioquia,2456,1551.1698717948718
Caribe,2456,3410.7329487179486
Oriental,2456,3058.815769230769
Surocciden,2456,2573.3773076923076
Surocciden,2455,2529.397948717949
Oriental,2455,3006.5416666666665
Nordeste,2455,1343.3182051282051
Caribe,2455,3352.4433333333336
Antioquia,2455,1524.6603846153846
Caribe,2454,3244.100512820513
Surocciden,2454,2447.653333333333
Oriental,2454,2909.377179487179
Nordeste,2454,1299.9057692307692
Antioquia,2454,1475.3873076923078
Oriental,2453,2867.4515384615383
Nordeste,2453,1281.1733333333334
Caribe,2453,3197.3515384615384
Antioquia,2453,1454.126282051282
Surocciden,2453,2412.3816666666667
Surocciden,2452,2446.960512820513
Oriental,2452,2908.553717948718
Nordeste,2452,1299.5378205128204
Caribe,2452,3243.1821794871794
Antioquia,2452,1474.969358974359
Nordeste,2451,1333.0703846153847
Antioquia,2451,1513.0288461538462
Caribe,2451,3326.8683333333333
Oriental,2451,2983.604487179487
Surocciden,2451,2510.102051282051
Surocciden,2450,2598.7039743589744
Oriental,2450,3088.921153846154
Nordeste,2450,1380.1255128205128
Caribe,2450,3444.3010256410253
Antioquia,2450,1566.4353846153847
Antioquia,2449,1669.1338461538462
Surocciden,2449,2769.077948717949
Oriental,2449,3291.433717948718
Nordeste,2449,1470.6079487179486
Caribe,2449,3670.1121794871797
Antioquia,2448,1644.1561538461538
Nordeste,2448,1448.602307692308
Caribe,2448,3615.194615384615
Surocciden,2448,2727.6423076923074
Oriental,2448,3242.182307692308
Surocciden,2447,2875.979230769231
Oriental,2447,3418.5007692307695
Nordeste,2447,1527.3807692307694
Caribe,2447,3811.8
Antioquia,2447,1733.57
Surocciden,2446,2997.6776923076923
Oriental,2446,3563.1546153846157
Nordeste,2446,1592.0130769230768
Caribe,2446,3973.096153846154
Antioquia,2446,1806.9276923076925
Antioquia,2445,1854.3507692307694
Surocciden,2445,3076.3500000000004
