TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2023_Q1_labor,2023,1,24,156.42857142857144
2023_Q1_holidays,2023,1,24,26.071428571428573
2023_Q2_labor,2023,1,24,156.42857142857144
2023_Q2_holidays,2023,1,24,26.071428571428573
2023_Q3_labor,2023,1,24,156.42857142857144
2023_Q3_holidays,2023,1,24,26.071428571428573
2023_Q4_labor,2023,1,24,156.42857142857144
2023_Q4_holidays,2023,1,24,26.071428571428573
2025_Q1_labor,2025,1,24,391.0714285714286
2025_Q1_holidays,2025,1,24,65.17857142857143
2025_Q2_labor,2025,1,24,391.0714285714286
2025_Q2_holidays,2025,1,24,65.17857142857143
2025_Q3_labor,2025,1,24,391.0714285714286
2025_Q3_holidays,2025,1,24,65.17857142857143
2025_Q4_labor,2025,1,24,391.0714285714286
2025_Q4_holidays,2025,1,24,65.17857142857143
2030_Q1_labor,2030,1,24,391.0714285714286
2030_Q1_holidays,2030,1,24,65.17857142857143
2030_Q2_labor,2030,1,24,391.0714285714286
2030_Q2_holidays,2030,1,24,65.17857142857143
2030_Q3_labor,2030,1,24,391.0714285714286
2030_Q3_holidays,2030,1,24,65.17857142857143
2030_Q4_labor,2030,1,24,391.0714285714286
2030_Q4_holidays,2030,1,24,65.17857142857143
2035_Q1_labor,2035,1,24,391.0714285714286
2035_Q1_holidays,2035,1,24,65.17857142857143
2035_Q2_labor,2035,1,24,391.0714285714286
2035_Q2_holidays,2035,1,24,65.17857142857143
2035_Q3_labor,2035,1,24,391.0714285714286
2035_Q3_holidays,2035,1,24,65.17857142857143
2035_Q4_labor,2035,1,24,391.0714285714286
2035_Q4_holidays,2035,1,24,65.17857142857143
2040_Q1_labor,2040,1,24,391.0714285714286
2040_Q1_holidays,2040,1,24,65.17857142857143
2040_Q2_labor,2040,1,24,391.0714285714286
2040_Q2_holidays,2040,1,24,65.17857142857143
2040_Q3_labor,2040,1,24,391.0714285714286
2040_Q3_holidays,2040,1,24,65.17857142857143
2040_Q4_labor,2040,1,24,391.0714285714286
2040_Q4_holidays,2040,1,24,65.17857142857143
2045_Q1_labor,2045,1,24,391.0714285714286
2045_Q1_holidays,2045,1,24,65.17857142857143
2045_Q2_labor,2045,1,24,391.0714285714286
2045_Q2_holidays,2045,1,24,65.17857142857143
2045_Q3_labor,2045,1,24,391.0714285714286
2045_Q3_holidays,2045,1,24,65.17857142857143
2045_Q4_labor,2045,1,24,391.0714285714286
2045_Q4_holidays,2045,1,24,65.17857142857143
2050_Q1_labor,2050,1,24,391.0714285714286
2050_Q1_holidays,2050,1,24,65.17857142857143
2050_Q2_labor,2050,1,24,391.0714285714286
2050_Q2_holidays,2050,1,24,65.17857142857143
2050_Q3_labor,2050,1,24,391.0714285714286
2050_Q3_holidays,2050,1,24,65.17857142857143
2050_Q4_labor,2050,1,24,391.0714285714286
2050_Q4_holidays,2050,1,24,65.17857142857143
