TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Antioquia-Caribe,2023,21622443795053.26
Antioquia-Caribe,2024,3553580863536.264
Antioquia-Caribe,2025,2935342102996.901
Antioquia-Caribe,2026,2684281300645.598
Antioquia-Caribe,2027,2535834694206.6807
Antioquia-Caribe,2028,2410010389281.112
Antioquia-Caribe,2029,2312564394745.417
Antioquia-Caribe,2030,2258364617423.862
Antioquia-Caribe,2031,2236973782293.699
Antioquia-Caribe,2032,2221727821771.3965
Antioquia-Caribe,2033,2182779002887.8928
Antioquia-Caribe,2034,2100386031639.6807
Antioquia-Caribe,2035,1983367059166.5513
Antioquia-Caribe,2036,1911227735745.44
Antioquia-Caribe,2037,2080015415081.715
Antioquia-Nordeste,2023,19329294589866.6
Antioquia-Nordeste,2024,3950049197086.3945
Antioquia-Nordeste,2025,3135349789686.9697
Antioquia-Nordeste,2026,2738564743967.0894
Antioquia-Nordeste,2027,2488507096299.038
Antioquia-Nordeste,2028,2325221700580.804
Antioquia-Nordeste,2029,2290344184103.411
Antioquia-Nordeste,2030,2288810143025.7974
Antioquia-Nordeste,2031,2260736909703.9985
Antioquia-Nordeste,2032,2238129299935.261
Antioquia-Nordeste,2033,2222114041978.531
Antioquia-Nordeste,2034,2252569413185.6436
Antioquia-Nordeste,2035,2416587013307.5674
Antioquia-Nordeste,2036,2529968293679.284
Antioquia-Nordeste,2037,2673438949412.1714
Antioquia-Oriental,2023,11842137935307.607
Antioquia-Oriental,2024,2744945210002.546
Antioquia-Oriental,2025,1900696081417.0073
Antioquia-Oriental,2026,1529060757996.5842
Antioquia-Oriental,2027,1267992135746.773
Antioquia-Oriental,2028,1075300891070.0758
Antioquia-Oriental,2029,1058041964694.6582
Antioquia-Oriental,2030,1731709001195.734
Antioquia-Oriental,2031,1149576678798.9524
Antioquia-Oriental,2032,1023364434994.9303
Antioquia-Oriental,2033,1200994833591.077
Antioquia-Oriental,2034,1271403505020.6577
Antioquia-Oriental,2035,1377677780388.2285
Antioquia-Oriental,2036,1549565129350.7903
Antioquia-Oriental,2037,1329902194803.3464
Antioquia-Surocciden,2023,17447702639518.582
Antioquia-Surocciden,2024,2180313623055.8115
Antioquia-Surocciden,2025,1794141104790.395
Antioquia-Surocciden,2026,1602577673412.4666
Antioquia-Surocciden,2027,1465066201335.9065
Antioquia-Surocciden,2028,1365733043724.0205
Antioquia-Surocciden,2029,1277557022348.4736
Antioquia-Surocciden,2030,1269023430562.9866
Antioquia-Surocciden,2031,1331600467872.5173
Antioquia-Surocciden,2032,1426913819531.552
Antioquia-Surocciden,2033,1534051069499.6846
Antioquia-Surocciden,2034,1633478383484.9722
Antioquia-Surocciden,2035,2089288274693.1208
Antioquia-Surocciden,2036,2550629264297.1675
Antioquia-Surocciden,2037,2432596841580.48
Caribe-Nordeste,2023,15760938933160.01
Caribe-Nordeste,2024,4219924553048.152
Caribe-Nordeste,2025,3111583433226.8467
Caribe-Nordeste,2026,2593164964940.378
Caribe-Nordeste,2027,2244795153179.932
Caribe-Nordeste,2028,1988402575488.3745
Caribe-Nordeste,2029,1891104468706.2542
Caribe-Nordeste,2030,1843929215161.2522
Caribe-Nordeste,2031,1765858345011.0325
Caribe-Nordeste,2032,1680036133610.0454
Caribe-Nordeste,2033,1565500751932.1282
Caribe-Nordeste,2034,1460215450206.377
Caribe-Nordeste,2035,1654132615240.0693
Caribe-Nordeste,2036,2643460149278.7954
Caribe-Nordeste,2037,1771444331024.6943
Nordeste-Oriental,2023,18728031348261.137
Nordeste-Oriental,2024,3183036106893.3887
Nordeste-Oriental,2025,2322038576835.038
Nordeste-Oriental,2026,1904264643835.5728
Nordeste-Oriental,2027,1614337612002.3362
Nordeste-Oriental,2028,1441247336378.8738
Nordeste-Oriental,2029,1412634708043.789
Nordeste-Oriental,2030,1545111139868.5212
Nordeste-Oriental,2031,1542172001970.5798
Nordeste-Oriental,2032,1585764218804.8784
Nordeste-Oriental,2033,1747597764254.1692
Nordeste-Oriental,2034,1862015981763.2458
Nordeste-Oriental,2035,2241967134991.726
Nordeste-Oriental,2036,2265659012821.897
Nordeste-Oriental,2037,2569069165678.1807
Oriental-Surocciden,2023,20083046901815.547
Oriental-Surocciden,2024,4034751624983.5435
Oriental-Surocciden,2025,3275498604720.7583
Oriental-Surocciden,2026,2870363595550.3345
Oriental-Surocciden,2027,2605471075314.7183
Oriental-Surocciden,2028,2432525559155.735
Oriental-Surocciden,2029,2400758460909.09
Oriental-Surocciden,2030,2388649481665.6455
Oriental-Surocciden,2031,2340861680291.5586
Oriental-Surocciden,2032,2296756243091.1543
Oriental-Surocciden,2033,2261918502854.6416
Oriental-Surocciden,2034,2275369012362.0957
Oriental-Surocciden,2035,2434998946158.8687
Oriental-Surocciden,2036,2540522689084.4897
Oriental-Surocciden,2037,2683865432231.391
