GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
PAIPA 1,1963,2023,0.0
PAIPA 1,1963,2025,0.0
PAIPA 1,1963,2030,0.0
PAIPA 1,1963,2035,0.0
PAIPA 1,1963,2040,0.0
PAIPA 1,1963,2045,0.0
PAIPA 1,1963,2050,0.0
ZIPAEMG2,1964,2023,0.0
ZIPAEMG2,1964,2025,0.0
ZIPAEMG2,1964,2030,0.0
ZIPAEMG2,1964,2035,0.0
ZIPAEMG2,1964,2040,0.0
ZIPAEMG2,1964,2045,0.0
ZIPAEMG2,1964,2050,0.0
PAIPA 2,1975,2023,0.0
PAIPA 2,1975,2025,0.0
PAIPA 2,1975,2030,0.0
PAIPA 2,1975,2035,0.0
PAIPA 2,1975,2040,0.0
PAIPA 2,1975,2045,0.0
PAIPA 2,1975,2050,0.0
ZIPAEMG3,1976,2023,0.0
ZIPAEMG3,1976,2025,0.0
ZIPAEMG3,1976,2030,0.0
ZIPAEMG3,1976,2035,0.0
ZIPAEMG3,1976,2040,0.0
ZIPAEMG3,1976,2045,0.0
ZIPAEMG3,1976,2050,0.0
BARRANQUILL3,1980,2023,0.0
BARRANQUILL3,1980,2025,0.0
BARRANQUILL3,1980,2030,0.0
BARRANQUILL3,1980,2035,0.0
BARRANQUILL3,1980,2040,0.0
BARRANQUILL3,1980,2045,0.0
BARRANQUILL3,1980,2050,0.0
BARRANQUILL4,1980,2023,0.0
BARRANQUILL4,1980,2025,0.0
BARRANQUILL4,1980,2030,0.0
BARRANQUILL4,1980,2035,0.0
BARRANQUILL4,1980,2040,0.0
BARRANQUILL4,1980,2045,0.0
BARRANQUILL4,1980,2050,0.0
CARTAGENA2,1980,2023,0.0
CARTAGENA2,1980,2025,0.0
CARTAGENA2,1980,2030,0.0
CARTAGENA2,1980,2035,0.0
CARTAGENA2,1980,2040,0.0
CARTAGENA2,1980,2045,0.0
CARTAGENA2,1980,2050,0.0
CARTAGENA3,1980,2023,0.0
CARTAGENA3,1980,2025,0.0
CARTAGENA3,1980,2030,0.0
CARTAGENA3,1980,2035,0.0
CARTAGENA3,1980,2040,0.0
CARTAGENA3,1980,2045,0.0
CARTAGENA3,1980,2050,0.0
H_SanJosMoII,1980,2023,0.0
H_SanJosMoII,1980,2025,0.0
H_SanJosMoII,1980,2030,0.0
H_SanJosMoII,1980,2035,0.0
H_SanJosMoII,1980,2040,0.0
H_SanJosMoII,1980,2045,0.0
H_SanJosMoII,1980,2050,0.0
RIOGRANDE 1,1980,2023,0.0
RIOGRANDE 1,1980,2025,0.0
RIOGRANDE 1,1980,2030,0.0
RIOGRANDE 1,1980,2035,0.0
RIOGRANDE 1,1980,2040,0.0
RIOGRANDE 1,1980,2045,0.0
RIOGRANDE 1,1980,2050,0.0
T_AutArCairo,1980,2023,0.0
T_AutArCairo,1980,2025,0.0
T_AutArCairo,1980,2030,0.0
T_AutArCairo,1980,2035,0.0
T_AutArCairo,1980,2040,0.0
T_AutArCairo,1980,2045,0.0
T_AutArCairo,1980,2050,0.0
T_TermYopal1,1980,2023,0.0
T_TermYopal1,1980,2025,0.0
T_TermYopal1,1980,2030,0.0
T_TermYopal1,1980,2035,0.0
T_TermYopal1,1980,2040,0.0
T_TermYopal1,1980,2045,0.0
T_TermYopal1,1980,2050,0.0
ZIPAEMG4,1981,2023,0.0
ZIPAEMG4,1981,2025,0.0
ZIPAEMG4,1981,2030,0.0
ZIPAEMG4,1981,2035,0.0
ZIPAEMG4,1981,2040,0.0
ZIPAEMG4,1981,2045,0.0
ZIPAEMG4,1981,2050,0.0
PAIPA 3,1982,2023,0.0
PAIPA 3,1982,2025,0.0
PAIPA 3,1982,2030,0.0
PAIPA 3,1982,2035,0.0
PAIPA 3,1982,2040,0.0
PAIPA 3,1982,2045,0.0
PAIPA 3,1982,2050,0.0
GUAJIRA1,1983,2023,0.0
GUAJIRA1,1983,2025,0.0
GUAJIRA1,1983,2030,0.0
GUAJIRA1,1983,2035,0.0
GUAJIRA1,1983,2040,0.0
GUAJIRA1,1983,2045,0.0
GUAJIRA1,1983,2050,0.0
H_Ayura,1983,2023,0.0
H_Ayura,1983,2025,0.0
H_Ayura,1983,2030,0.0
H_Ayura,1983,2035,0.0
H_Ayura,1983,2040,0.0
H_Ayura,1983,2045,0.0
H_Ayura,1983,2050,0.0
TASAJERO 1,1985,2023,0.0
TASAJERO 1,1985,2025,0.0
TASAJERO 1,1985,2030,0.0
TASAJERO 1,1985,2035,0.0
TASAJERO 1,1985,2040,0.0
TASAJERO 1,1985,2045,0.0
TASAJERO 1,1985,2050,0.0
ZIPAEMG5,1985,2023,0.0
ZIPAEMG5,1985,2025,0.0
ZIPAEMG5,1985,2030,0.0
ZIPAEMG5,1985,2035,0.0
ZIPAEMG5,1985,2040,0.0
ZIPAEMG5,1985,2045,0.0
ZIPAEMG5,1985,2050,0.0
GUAJIRA2,1987,2023,0.0
GUAJIRA2,1987,2025,0.0
GUAJIRA2,1987,2030,0.0
GUAJIRA2,1987,2035,0.0
GUAJIRA2,1987,2040,0.0
GUAJIRA2,1987,2045,0.0
GUAJIRA2,1987,2050,0.0
SAN CARLOS,1987,2023,0.0
SAN CARLOS,1987,2025,0.0
SAN CARLOS,1987,2030,0.0
SAN CARLOS,1987,2035,0.0
SAN CARLOS,1987,2040,0.0
SAN CARLOS,1987,2045,0.0
SAN CARLOS,1987,2050,0.0
FLORES 1,1993,2023,0.0
FLORES 1,1993,2025,0.0
FLORES 1,1993,2030,0.0
FLORES 1,1993,2035,0.0
FLORES 1,1993,2040,0.0
FLORES 1,1993,2045,0.0
FLORES 1,1993,2050,0.0
PROELECTRIC1,1993,2023,0.0
PROELECTRIC1,1993,2025,0.0
PROELECTRIC1,1993,2030,0.0
PROELECTRIC1,1993,2035,0.0
PROELECTRIC1,1993,2040,0.0
PROELECTRIC1,1993,2045,0.0
PROELECTRIC1,1993,2050,0.0
PROELECTRIC2,1993,2023,0.0
PROELECTRIC2,1993,2025,0.0
PROELECTRIC2,1993,2030,0.0
PROELECTRIC2,1993,2035,0.0
PROELECTRIC2,1993,2040,0.0
PROELECTRIC2,1993,2045,0.0
PROELECTRIC2,1993,2050,0.0
LA TASAJERA,1994,2023,0.0
LA TASAJERA,1994,2025,0.0
LA TASAJERA,1994,2030,0.0
LA TASAJERA,1994,2035,0.0
LA TASAJERA,1994,2040,0.0
LA TASAJERA,1994,2045,0.0
LA TASAJERA,1994,2050,0.0
CARTAGENA1,1995,2023,0.0
CARTAGENA1,1995,2025,0.0
CARTAGENA1,1995,2030,0.0
CARTAGENA1,1995,2035,0.0
CARTAGENA1,1995,2040,0.0
CARTAGENA1,1995,2045,0.0
CARTAGENA1,1995,2050,0.0
TERMODORADA1,1997,2023,0.0
TERMODORADA1,1997,2025,0.0
TERMODORADA1,1997,2030,0.0
TERMODORADA1,1997,2035,0.0
TERMODORADA1,1997,2040,0.0
TERMODORADA1,1997,2045,0.0
TERMODORADA1,1997,2050,0.0
MERILECTRICA,1998,2023,0.0
MERILECTRICA,1998,2025,0.0
MERILECTRICA,1998,2030,0.0
MERILECTRICA,1998,2035,0.0
MERILECTRICA,1998,2040,0.0
MERILECTRICA,1998,2045,0.0
MERILECTRICA,1998,2050,0.0
TEBSAB,1998,2023,0.0
TEBSAB,1998,2025,0.0
TEBSAB,1998,2030,0.0
TEBSAB,1998,2035,0.0
TEBSAB,1998,2040,0.0
TEBSAB,1998,2045,0.0
TEBSAB,1998,2050,0.0
TERMOSIERRA,1998,2023,0.0
TERMOSIERRA,1998,2025,0.0
TERMOSIERRA,1998,2030,0.0
TERMOSIERRA,1998,2035,0.0
TERMOSIERRA,1998,2040,0.0
TERMOSIERRA,1998,2045,0.0
TERMOSIERRA,1998,2050,0.0
PAIPA 4,1999,2023,0.0
PAIPA 4,1999,2025,0.0
PAIPA 4,1999,2030,0.0
PAIPA 4,1999,2035,0.0
PAIPA 4,1999,2040,0.0
PAIPA 4,1999,2045,0.0
PAIPA 4,1999,2050,0.0
TERMOEMCALI,1999,2023,0.0
TERMOEMCALI,1999,2025,0.0
TERMOEMCALI,1999,2030,0.0
