PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,0.0,0.0
2023,FuelCostsPerTP,timepoint,2265848195.7255898,2345152882.5759907
2023,GenVariableOMCostsInTP,timepoint,410864221.5260376,425244469.2794498
2023,StorageEnergyFixedCost,annual,0.0,0.0
2023,TotalGenFixedCosts,annual,4268421178.670166,4417815919.923632
2023,TxFixedCosts,annual,5.67655938227411e+18,5.875238960653718e+18
2024,EmissionsCosts,annual,0.0,0.0
2024,FuelCostsPerTP,timepoint,2250672644.934728,2410976804.0702095
2024,GenVariableOMCostsInTP,timepoint,401509627.77521914,430107151.01351005
2024,StorageEnergyFixedCost,annual,0.0,0.0
2024,TotalGenFixedCosts,annual,4273297442.9695973,4577663053.345117
2024,TxFixedCosts,annual,6.519219996378646e+18,6.983551440620729e+18
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,2147722496.199341,2381218322.075834
2025,GenVariableOMCostsInTP,timepoint,392212474.4406761,434852981.21035916
2025,StorageEnergyFixedCost,annual,0.0,0.0
2025,TotalGenFixedCosts,annual,4141221774.6949596,4591446605.943534
2025,TxFixedCosts,annual,7.068163245648015e+18,7.836598933867987e+18
2026,EmissionsCosts,annual,0.0,0.0
2026,FuelCostsPerTP,timepoint,2010257668.0636125,2306816911.2857766
2026,GenVariableOMCostsInTP,timepoint,384539053.69117373,441267408.74919456
2026,StorageEnergyFixedCost,annual,0.0,0.0
2026,TotalGenFixedCosts,annual,4024898954.7608166,4618664125.779568
2026,TxFixedCosts,annual,7.467741992506385e+18,8.569405699134261e+18
2027,EmissionsCosts,annual,0.0,0.0
2027,FuelCostsPerTP,timepoint,1927893772.68044,2289733032.5544524
2027,GenVariableOMCostsInTP,timepoint,373306575.2258783,443371107.2037115
2027,StorageEnergyFixedCost,annual,0.0,0.0
2027,TotalGenFixedCosts,annual,3939461568.3453627,4678844556.345957
