generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
AMOYA,2023_Q1_labor_0h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_1h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_2h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_3h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,57.1930717462778,4.473315254441014,6217.908203673009,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_4h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_5h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_6h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_7h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_8h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_9h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_10h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_11h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_12h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_13h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,70.3391374537221,5.5015253937018365,7647.120297245552,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_14h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_15h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_16h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_17h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_18h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_19h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_20h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_21h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_22h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_labor_23h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00585,0.0004575535714285715,0.6359994642857143,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_0h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_1h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_2h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_3h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_4h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_5h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_6h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_7h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,54.8461327333817,0.7149585159887257,993.7923372243288,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_8h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_9h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_10h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_11h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_12h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_13h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,25.0157912666184,0.32609870758270415,453.27720353995875,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_14h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_15h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_16h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_17h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_18h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_19h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_20h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,80.0,1.042857142857143,1449.5714285714284,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_21h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_22h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q1_holidays_23h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,0.53926,0.007029639285714285,9.771198607142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_0h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_1h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_2h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00303,0.00023698928571428576,0.32941510714285716,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_3h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_4h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_5h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_6h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00303,0.00023698928571428576,0.32941510714285716,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_7h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,36.1567596345291,2.8279751285578123,3930.8854286953583,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_8h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_9h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_10h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,0.00303,0.00023698928571428576,0.32941510714285716,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_11h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_labor_12h,AMOYA,RunOfRiver,Surocciden,Water,78.21428571428572,2023,80.0,6.257142857142858,8697.42857142857,0.0,80.0,8978400.293696908,3502400.0,,,,False
