generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2023,410.5841231807142,570711.9312211926,0.0,80.0,8978400.293696908,3502400.0,31.787669050158616,0.5858791712053569,,
AMOYA,AMOYA,RunOfRiver,Surocciden,Water,2026,410.5841231807142,570711.9312211926,0.0,80.0,8978400.293696908,3502400.0,31.787669050158616,0.5858791712053569,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2023,0.0,0.0,0.0,60.0,6771600.221509176,8593200.0,0.0,0.0,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2026,0.0,0.0,0.0,60.0,6771600.221509176,8593200.0,0.0,0.0,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2023,0.0,0.0,0.0,60.0,6782400.22186246,8593200.0,0.0,0.0,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2026,0.0,0.0,0.0,60.0,6782400.22186246,8593200.0,0.0,0.0,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2023,1138.2560936335713,1582175.9701506642,0.0,540.0,61187402.001531474,23641200.0,75.91505853119519,0.24062575968915334,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2026,1138.2560936335713,1582175.970150664,0.0,540.0,61187402.001531474,23641200.0,75.91505853119519,0.24062575968915334,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2023,86.71168620554292,120529.24382570463,0.0,19.9,2262033.073994486,871221.9999999999,37.52417304061372,0.49741679978398223,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2026,86.71168620554207,120529.24382570345,0.0,19.9,2262033.073994486,871221.9999999999,37.52417304061408,0.49741679978397724,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2023,749.4825964277136,1041780.8090345222,0.0,132.0,15016320.491206313,5778960.0,29.136181953154914,0.6481619244047612,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2026,749.4825964277136,1041780.8090345217,0.0,132.0,15016320.491206313,5778960.0,29.136181953154914,0.6481619244047612,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2023,0.0,0.0,0.0,555.0,63286652.070201084,79487100.0,0.0,0.0,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2026,0.0,0.0,0.0,555.0,63286652.070201084,79487100.0,0.0,0.0,,
CARTAGENA1,CARTAGENA1,Thermal,Caribe,COMBUSTOLEO,2023,0.0,0.0,0.0,52.0,5948280.194577146,7447440.0,0.0,0.0,,
CARTAGENA1,CARTAGENA1,Thermal,Caribe,COMBUSTOLEO,2026,0.0,0.0,0.0,52.0,5948280.194577146,7447440.0,0.0,0.0,,
CARTAGENA2,CARTAGENA2,Thermal,Caribe,COMBUSTOLEO,2023,0.0,0.0,0.0,60.0,6874200.224865375,8593200.0,0.0,0.0,,
CARTAGENA2,CARTAGENA2,Thermal,Caribe,COMBUSTOLEO,2026,0.0,0.0,0.0,60.0,6874200.224865375,8593200.0,0.0,0.0,,
CARTAGENA3,CARTAGENA3,Thermal,Caribe,COMBUSTOLEO,2023,0.0,0.0,0.0,66.0,7573500.247740526,9452520.0,0.0,0.0,,
CARTAGENA3,CARTAGENA3,Thermal,Caribe,COMBUSTOLEO,2026,0.0,0.0,0.0,66.0,7573500.247740526,9452520.0,0.0,0.0,,
CHARQUITO,CHARQUITO,Hidro,Oriental,Water,2023,134.49137603591737,186943.01268992515,0.0,19.4,5382918.176083308,849331.9999999999,47.729403757895355,0.7913864333893362,,
CHARQUITO,CHARQUITO,Hidro,Oriental,Water,2026,134.4913760359172,186943.01268992486,0.0,19.4,5382918.176083308,849331.9999999999,47.72940375789542,0.7913864333893351,,
