gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Biomass,Surocciden,Biomass,2025,1.9525159195094613e-06,0.0,0.0,3.4535474806362785e-10,9.383388619355641e-05,4.717580394023963e-05,0.07221948293728765,645.3941820670055,0.0,0.0
Biomass,Surocciden,Biomass,2030,6.221018766634006e-07,0.0,0.0,9.368081136147034e-08,0.01864475770633863,0.009373814641491517,45.03855943676907,0.7580655518889925,0.0,0.0
Biomass,Surocciden,Biomass,2035,876.0000018258231,0.0,0.0,100.00000053074494,14059944.54001755,7068800.040269004,24.119571388411508,0.9999999967768234,0.0,0.0
Biomass,Surocciden,Biomass,2040,876.0000041289488,0.0,0.0,100.00000115827676,14059944.628248176,7068800.084627973,24.11957147635579,0.9999999931306441,0.0,0.0
Biomass,Surocciden,Biomass,2045,876.0000039206461,0.0,0.0,100.0000013988413,14059944.662071418,7068800.101632999,24.119571540114286,0.9999999904872103,0.0,0.0
Biomass,Surocciden,Biomass,2050,876.000005487988,0.0,0.0,100.00000163954712,14059944.695914522,7068800.118648012,24.119571555016684,0.9999999898693552,0.0,0.0
Eolica,Caribe,Wind,2023,214.2788489234282,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861850318568,0.7644079941617729,0.0,0.0
Eolica,Caribe,Wind,2025,214.27884838311374,0.0,0.0,32.0,5395834.247909282,882240.0,29.29861857706356,0.7644079922342811,0.0,0.0
Eolica,Caribe,Wind,2030,10130.029751310303,0.0,0.0,1526.5743385996122,236808199.21095175,41156544.40971312,27.43967692540198,0.7575104998771527,0.0,0.0
Eolica,Caribe,Wind,2035,23822.449762719512,0.0,0.0,3583.2412196918685,520029192.70380986,85615512.37828444,25.42327557050352,0.7589379471650853,0.0,0.0
Eolica,Caribe,Wind,2040,37298.69098500667,0.0,0.0,5607.437013932799,798778633.9183811,129372552.86239064,24.884283128163133,0.759320421444795,0.0,0.0
Eolica,Caribe,Wind,2045,47728.716492307765,0.0,0.0,7180.000000812308,1014683363.4377282,163295210.94976497,24.680709245079804,0.7588417294187937,0.0,0.0
Eolica,Caribe,Wind,2050,47768.15160514198,0.0,0.0,7180.000001033184,1014683363.4681447,163295210.95453966,24.66033402673846,0.7594687106222933,0.0,0.0
Geothermal,Surocciden,Geothermal,2025,1.9525032300670177e-06,0.0,0.0,3.4378650836224135e-10,9.340779092053875e-05,4.696158082879053e-05,0.07189200488263021,648.334042091435,0.0,0.0
Geothermal,Surocciden,Geothermal,2030,6.218963570755182e-07,0.0,0.0,9.365358334698667e-08,0.018639231592867813,0.009371036339725176,45.040090063096535,0.7580354353655022,0.0,0.0
Geothermal,Surocciden,Geothermal,2035,1314.0000016381975,0.0,0.0,150.00000050934307,21089916.766967673,10603200.038755294,24.119571359368603,0.999999997851105,0.0,0.0
Geothermal,Surocciden,Geothermal,2040,1314.0000039413449,0.0,0.0,150.0000011369286,21089916.855205853,10603200.08311806,24.11957141800637,0.9999999954199772,0.0,0.0
Geothermal,Surocciden,Geothermal,2045,1314.0000037323816,0.0,0.0,150.000001377466,21089916.88902528,10603200.100121168,24.11957146051979,0.9999999936573662,0.0,0.0
Geothermal,Surocciden,Geothermal,2050,1314.000005300873,0.0,0.0,150.00000161820392,21089916.922872897,10603200.117138451,24.119571470438785,0.9999999932461237,0.0,0.0
Hidro,Antioquia,Water,2023,32845.50508579428,45652587.639953814,0.0,5684.46,919639495.2827839,248865658.8,36.965719922750175,0.65960300220953,0.0,0.0
Hidro,Antioquia,Water,2025,32845.50508902908,45652587.64636283,0.0,5684.460000212226,919639495.348126,248865658.80998734,36.965719921598165,0.6596030022498655,0.0,0.0
Hidro,Antioquia,Water,2030,43357.50508334603,60264267.63842604,0.0,6884.46000021613,1252603506.2410789,301401658.810171,37.23160337723699,0.7189361084972707,0.0,0.0
Hidro,Antioquia,Water,2035,43065.3174906086,59858126.88645454,0.0,6884.460000360997,1252603506.2856822,301401658.81698847,37.47477984670765,0.7140911753969568,0.0,0.0
