PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2023,5.676559389219244e+18,5.87523896784193e+18,73856160696.0836,79549747.94883263
2024,6.519220003304112e+18,6.983551448039463e+18,85070911652.69427,82090944.04148526
2025,7.068163252329168e+18,7.836598941275501e+18,93086277868.5261,84186403.4175243
2026,7.467741998926075e+18,8.569405706501002e+18,98814713532.83928,86721960.72959433
2027,7.764167966997115e+18,9.221395969144629e+18,103236482648.91382,89323035.15710345
2028,7.985963817928518e+18,9.81678855918323e+18,106713060412.44142,91992381.45023452
2029,8.168972637330347e+18,1.0393214484582986e+19,109677541980.32355,94761555.52836475
2030,8.365864295075367e+18,1.1016245705764737e+19,112864824459.1405,97605660.2095089
2031,8.508604650367711e+18,1.1596354757897419e+19,115360249785.19951,100522968.52243127
2032,8.626970182578227e+18,1.2169193447460241e+19,117507581581.79118,103560921.63287243
2033,8.739890196657318e+18,1.2759975019147459e+19,119640381611.31969,106652744.22645424
2034,8.842182769990279e+18,1.3361145246260361e+19,121631678184.45947,109849222.22315827
2035,8.972744732671415e+18,1.403297850266628e+19,124020741344.91457,113150254.95323488
2036,9.140992254719844e+18,1.4796474092617849e+19,126972304934.93994,116533082.55055697
2037,9.270293676787993e+18,1.5530975672135934e+19,129377922439.07458,120043477.11990531
