PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2023,1.31987e+07,inf,.,0,0
2024,1.38194e+07,inf,.,0,0
2025,1.53265e+07,inf,.,0,0
2026,1.66786e+07,inf,.,0,0
2027,1.70084e+07,inf,.,0,0
2028,1.67615e+07,inf,.,0,0
2029,1.62287e+07,inf,.,0,0
2030,1.78057e+07,inf,.,0,0
2031,1.92168e+07,inf,.,0,0
2032,2.0627e+07,inf,.,0,0
2033,2.20383e+07,inf,.,0,0
2034,2.33528e+07,inf,.,0,0
2035,2.48496e+07,inf,.,0,0
