GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
AMOYA,2023,RunOfRiver,Surocciden,Water,.,.,.
AMOYA,2026,RunOfRiver,Surocciden,Water,.,.,.
BARRANQUILL3,2023,Thermal,Caribe,GASIMPOR,.,.,.
BARRANQUILL3,2026,Thermal,Caribe,GASIMPOR,.,.,.
BARRANQUILL4,2023,Thermal,Caribe,GASIMPOR,.,.,.
BARRANQUILL4,2026,Thermal,Caribe,GASIMPOR,.,.,.
BETANIA,2023,Hidro,Surocciden,Water,.,.,.
BETANIA,2026,Hidro,Surocciden,Water,.,.,.
C_LLERAS_R,2023,RunOfRiver,Antioquia,Water,.,.,.
C_LLERAS_R,2026,RunOfRiver,Antioquia,Water,.,.,.
CALDERAS,2023,Hidro,Antioquia,Water,.,.,.
CALDERAS,2026,Hidro,Antioquia,Water,.,.,.
CALIMA,2023,Hidro,Surocciden,Water,.,.,.
CALIMA,2026,Hidro,Surocciden,Water,.,.,.
CANDELARIA,2023,Thermal,Caribe,GASIMPOR,.,.,.
CANDELARIA,2026,Thermal,Caribe,GASIMPOR,.,.,.
CARTAGENA1,2023,Thermal,Caribe,COMBUSTOLEO,.,.,.
CARTAGENA1,2026,Thermal,Caribe,COMBUSTOLEO,.,.,.
CARTAGENA2,2023,Thermal,Caribe,COMBUSTOLEO,.,.,.
CARTAGENA2,2026,Thermal,Caribe,COMBUSTOLEO,.,.,.
CARTAGENA3,2023,Thermal,Caribe,COMBUSTOLEO,.,.,.
CARTAGENA3,2026,Thermal,Caribe,COMBUSTOLEO,.,.,.
CHARQUITO,2023,Hidro,Oriental,Water,.,.,.
CHARQUITO,2026,Hidro,Oriental,Water,.,.,.
CHIVOR,2023,Hidro,Oriental,Water,.,.,.
CHIVOR,2026,Hidro,Oriental,Water,.,.,.
CUCUANA,2023,RunOfRiver,Surocciden,Water,.,.,.
CUCUANA,2026,RunOfRiver,Surocciden,Water,.,.,.
DARIO VALENC,2023,RunOfRiver,Oriental,Water,.,.,.
DARIO VALENC,2026,RunOfRiver,Oriental,Water,.,.,.
EL QUIMBO,2023,Hidro,Surocciden,Water,.,.,.
EL QUIMBO,2026,Hidro,Surocciden,Water,.,.,.
ELTESORITO,2023,Thermal,Caribe,GASNACIO,.,.,.
ELTESORITO,2026,Thermal,Caribe,GASNACIO,.,.,.
ESCUELAMINAS,2023,RunOfRiver,Antioquia,Water,.,.,.
ESCUELAMINAS,2026,RunOfRiver,Antioquia,Water,.,.,.
ESMERALDA,2023,RunOfRiver,Surocciden,Water,.,.,.
ESMERALDA,2026,RunOfRiver,Surocciden,Water,.,.,.
FLORES 1,2023,Thermal,Caribe,GASIMPOR,.,.,.
FLORES 1,2026,Thermal,Caribe,GASIMPOR,.,.,.
FLORES4,2023,Thermal,Caribe,GASNACIO,.,.,.
FLORES4,2026,Thermal,Caribe,GASNACIO,.,.,.
GUAJIRA1,2023,Thermal,Caribe,CARBON,.,.,.
GUAJIRA1,2026,Thermal,Caribe,CARBON,.,.,.
GUAJIRA2,2023,Thermal,Caribe,CARBON,.,.,.
GUAJIRA2,2026,Thermal,Caribe,CARBON,.,.,.
GUATAPE,2023,Hidro,Antioquia,Water,.,.,.
GUATAPE,2026,Hidro,Antioquia,Water,.,.,.
GUAVIO,2023,Hidro,Oriental,Water,.,.,.
GUAVIO,2026,Hidro,Oriental,Water,.,.,.
H_AguaFresca,2023,Hidro,Antioquia,Water,.,.,.
H_AguaFresca,2026,Hidro,Antioquia,Water,.,.,.
H_Alejandria,2023,Hidro,Antioquia,Water,.,.,.
H_Alejandria,2026,Hidro,Antioquia,Water,.,.,.
H_Amaime,2023,Hidro,Surocciden,Water,.,.,.
H_Amaime,2026,Hidro,Surocciden,Water,.,.,.
H_Amalfi,2023,Hidro,Antioquia,Water,.,.,.
H_Amalfi,2026,Hidro,Antioquia,Water,.,.,.
H_America,2023,Hidro,Antioquia,Water,.,.,.
H_America,2026,Hidro,Antioquia,Water,.,.,.
H_Asnazu,2023,Hidro,Surocciden,Water,.,.,.
H_Asnazu,2026,Hidro,Surocciden,Water,.,.,.
H_AuresBajo,2023,Hidro,Antioquia,Water,.,.,.
H_AuresBajo,2026,Hidro,Antioquia,Water,.,.,.
H_AutCemNare,2023,Hidro,Antioquia,Water,.,.,.
H_AutCemNare,2026,Hidro,Antioquia,Water,.,.,.
H_Ayura,2023,Hidro,Antioquia,Water,.,.,.
H_Ayura,2026,Hidro,Antioquia,Water,.,.,.
H_Barrancas,2023,Hidro,Antioquia,Water,.,.,.
H_Barrancas,2026,Hidro,Antioquia,Water,.,.,.
H_Barroso,2023,Hidro,Antioquia,Water,.,.,.
H_Barroso,2026,Hidro,Antioquia,Water,.,.,.
H_Bayona,2023,Hidro,Surocciden,Water,.,.,.
H_Bayona,2026,Hidro,Surocciden,Water,.,.,.
H_Belmonte,2023,Hidro,Surocciden,Water,.,.,.
H_Belmonte,2026,Hidro,Surocciden,Water,.,.,.
H_CampestreC,2023,Hidro,Surocciden,Water,.,.,.
H_CampestreC,2026,Hidro,Surocciden,Water,.,.,.
H_Cantayus,2023,Hidro,Antioquia,Water,.,.,.
H_Cantayus,2026,Hidro,Antioquia,Water,.,.,.
H_Caracoli,2023,RunOfRiver,Antioquia,Water,3.75,.,1.15612e+07
H_Caracoli,2026,RunOfRiver,Antioquia,Water,.,.,.
H_Caruquia,2023,Hidro,Antioquia,Water,.,.,.
H_Caruquia,2026,Hidro,Antioquia,Water,.,.,.
H_Cascada,2023,Hidro,Nordeste,Water,.,.,.
H_Cascada,2026,Hidro,Nordeste,Water,.,.,.
H_CascadaAbe,2023,Hidro,Antioquia,Water,.,.,.
H_CascadaAbe,2026,Hidro,Antioquia,Water,.,.,.
H_CascadaAnt,2023,Hidro,Antioquia,Water,.,.,.
H_CascadaAnt,2026,Hidro,Antioquia,Water,.,.,.
H_CascadaGra,2023,Hidro,Antioquia,Water,2.09,.,6.44347e+06
H_CascadaGra,2026,Hidro,Antioquia,Water,.,.,.
H_Bello,2023,Hidro,Antioquia,Water,.,.,.
H_Bello,2026,Hidro,Antioquia,Water,.,.,.
H_Cauya,2023,Hidro,Surocciden,Water,.,.,.
H_Cauya,2026,Hidro,Surocciden,Water,.,.,.
H_Chorrera,2023,Hidro,Antioquia,Water,.,.,.
H_Chorrera,2026,Hidro,Antioquia,Water,.,.,.
H_PalmasSanGil,2023,Hidro,Nordeste,Water,.,.,.
H_PalmasSanGil,2026,Hidro,Nordeste,Water,.,.,.
H_Coconuco,2023,Hidro,Surocciden,Water,.,.,.
H_Coconuco,2026,Hidro,Surocciden,Water,.,.,.
H_Cocuyo,2023,Hidro,Surocciden,Water,.,.,.
H_Cocuyo,2026,Hidro,Surocciden,Water,.,.,.
H_Coello,2023,Hidro,Surocciden,Water,.,.,.
H_Coello,2026,Hidro,Surocciden,Water,.,.,.
H_Currucucue,2023,Hidro,Surocciden,Water,.,.,.
H_Currucucue,2026,Hidro,Surocciden,Water,.,.,.
H_ElBosque,2023,Hidro,Surocciden,Water,.,.,.
H_ElBosque,2026,Hidro,Surocciden,Water,.,.,.
H_ElEden,2023,Hidro,Surocciden,Water,.,.,.
H_ElEden,2026,Hidro,Surocciden,Water,.,.,.
H_ElLimonar,2023,Hidro,Oriental,Water,.,.,.
H_ElLimonar,2026,Hidro,Oriental,Water,.,.,.
H_LAGUNETA,2023,Hidro,Oriental,Water,.,.,.
H_LAGUNETA,2026,Hidro,Oriental,Water,.,.,.
H_ElMolino,2023,Hidro,Antioquia,Water,.,.,.
H_ElMolino,2026,Hidro,Antioquia,Water,.,.,.
H_ElPopal,2023,Hidro,Antioquia,Water,.,.,.
H_ElPopal,2026,Hidro,Antioquia,Water,.,.,.
H_Florida,2023,RunOfRiver,Surocciden,Water,.,.,.
H_Florida,2026,RunOfRiver,Surocciden,Water,.,.,.
H_Frisolera,2023,Hidro,Surocciden,Water,.,.,.
H_Frisolera,2026,Hidro,Surocciden,Water,.,.,.
H_Guacaica,2023,Hidro,Surocciden,Water,.,.,.
H_Guacaica,2026,Hidro,Surocciden,Water,.,.,.
H_Guanaquita,2023,Hidro,Antioquia,Water,.,.,.
H_Guanaquita,2026,Hidro,Antioquia,Water,.,.,.
H_Guaviomeno,2023,Hidro,Oriental,Water,.,.,.
H_Guaviomeno,2026,Hidro,Oriental,Water,.,.,.
H_Herradura,2023,RunOfRiver,Antioquia,Water,.,.,.
H_Herradura,2026,RunOfRiver,Antioquia,Water,.,.,.
H_Inza,2023,Hidro,Surocciden,Water,.,.,.
H_Inza,2026,Hidro,Surocciden,Water,.,.,.
H_IquiraI,2023,Hidro,Surocciden,Water,.,.,.
H_IquiraI,2026,Hidro,Surocciden,Water,.,.,.
H_IquiraII,2023,Hidro,Surocciden,Water,.,.,.
H_IquiraII,2026,Hidro,Surocciden,Water,.,.,.
H_JuanGarcia,2023,Hidro,Antioquia,Water,.,.,.
H_JuanGarcia,2026,Hidro,Antioquia,Water,.,.,.
H_La_Vuelta,2023,Hidro,Antioquia,Water,.,.,.
H_La_Vuelta,2026,Hidro,Antioquia,Water,.,.,.
H_LaPita,2023,Hidro,Surocciden,Water,.,.,.
H_LaPita,2026,Hidro,Surocciden,Water,.,.,.
H_LaRebusca,2023,Hidro,Antioquia,Water,.,.,.
H_LaRebusca,2026,Hidro,Antioquia,Water,.,.,.
H_LasPalmas,2023,Hidro,Antioquia,Water,.,.,.
H_LasPalmas,2026,Hidro,Antioquia,Water,.,.,.
H_Libertad,2023,Hidro,Nordeste,Water,.,.,.
H_Libertad,2026,Hidro,Nordeste,Water,.,.,.
H_LuzMaI,2023,Hidro,Antioquia,Water,.,.,.
H_LuzMaI,2026,Hidro,Antioquia,Water,.,.,.
H_LuzMaII,2023,Hidro,Antioquia,Water,.,.,.
H_LuzMaII,2026,Hidro,Antioquia,Water,.,.,.
H_Magallo,2023,Hidro,Antioquia,Water,.,.,.
H_Magallo,2026,Hidro,Antioquia,Water,.,.,.
H_Mirolindo,2023,Hidro,Surocciden,Water,.,.,.
H_Mirolindo,2026,Hidro,Surocciden,Water,.,.,.
H_Mondomo,2023,Hidro,Surocciden,Water,.,.,.
H_Mondomo,2026,Hidro,Surocciden,Water,.,.,.
H_Montanitas,2023,RunOfRiver,Antioquia,Water,.,.,.
H_Montanitas,2026,RunOfRiver,Antioquia,Water,.,.,.
H_MorroAzul,2023,Hidro,Surocciden,Water,.,.,.
H_MorroAzul,2026,Hidro,Surocciden,Water,.,.,.
H_Municipal,2023,Hidro,Surocciden,Water,.,.,.
H_Municipal,2026,Hidro,Surocciden,Water,.,.,.
H_Naveta,2023,Hidro,Oriental,Water,.,.,.
H_Naveta,2026,Hidro,Oriental,Water,.,.,.
H_Nima,2023,Hidro,Surocciden,Water,.,.,.
H_Nima,2026,Hidro,Surocciden,Water,.,.,.
H_Niquia,2023,Hidro,Antioquia,Water,.,.,.
H_Niquia,2026,Hidro,Antioquia,Water,.,.,.
H_Nuevoliba,2023,Hidro,Surocciden,Water,.,.,.
H_Nuevoliba,2026,Hidro,Surocciden,Water,.,.,.
H_Oibita,2023,Hidro,Nordeste,Water,19.9,.,6.13517e+07
H_Oibita,2026,Hidro,Nordeste,Water,.,.,.
H_Ovejas,2023,Hidro,Surocciden,Water,.,.,.
H_Ovejas,2026,Hidro,Surocciden,Water,.,.,.
H_Pajarito,2023,Hidro,Antioquia,Water,.,.,.
H_Pajarito,2026,Hidro,Antioquia,Water,.,.,.
H_Pastales,2023,Hidro,Surocciden,Water,.,.,.
H_Pastales,2026,Hidro,Surocciden,Water,.,.,.
H_PaticoCab,2023,Hidro,Surocciden,Water,.,.,.
H_PaticoCab,2026,Hidro,Surocciden,Water,.,.,.
H_Pocune,2023,Hidro,Antioquia,Water,.,.,.
H_Pocune,2026,Hidro,Antioquia,Water,.,.,.
H_Porce3Meno,2023,Hidro,Antioquia,Water,.,.,.
H_Porce3Meno,2026,Hidro,Antioquia,Water,.,.,.
H_ProvidencI,2023,Hidro,Caribe,Water,.,.,.
H_ProvidencI,2026,Hidro,Caribe,Water,.,.,.
H_Puente_Gui,2023,Hidro,Nordeste,Water,.,.,.
H_Puente_Gui,2026,Hidro,Nordeste,Water,.,.,.
H_Remedios,2023,Hidro,Antioquia,Water,.,.,.
H_Remedios,2026,Hidro,Antioquia,Water,.,.,.
H_Rio_Recio,2023,Hidro,Surocciden,Water,.,.,.
H_Rio_Recio,2026,Hidro,Surocciden,Water,.,.,.
H_RioBobo,2023,Hidro,Surocciden,Water,.,.,.
H_RioBobo,2026,Hidro,Surocciden,Water,.,.,.
H_RioCali,2023,Hidro,Surocciden,Water,.,.,.
H_RioCali,2026,Hidro,Surocciden,Water,.,.,.
H_RioFrioI,2023,Hidro,Surocciden,Water,.,.,.
H_RioFrioI,2026,Hidro,Surocciden,Water,.,.,.
H_RioFrioII,2023,RunOfRiver,Surocciden,Water,.,.,.
H_RioFrioII,2026,RunOfRiver,Surocciden,Water,.,.,.
H_RioFrioTam,2023,Hidro,Antioquia,Water,.,.,.
H_RioFrioTam,2026,Hidro,Antioquia,Water,.,.,.
H_RioGrande,2023,Hidro,Surocciden,Water,.,.,.
H_RioGrande,2026,Hidro,Surocciden,Water,.,.,.
H_RioMayo,2023,RunOfRiver,Surocciden,Water,.,.,.
H_RioMayo,2026,RunOfRiver,Surocciden,Water,.,.,.
H_RioMulato2,2023,Hidro,Antioquia,Water,.,.,.
H_RioMulato2,2026,Hidro,Antioquia,Water,.,.,.
H_RioNegro,2023,Hidro,Surocciden,Water,.,.,.
H_RioNegro,2026,Hidro,Surocciden,Water,.,.,.
H_RioPalo,2023,Hidro,Surocciden,Water,.,.,.
H_RioPalo,2026,Hidro,Surocciden,Water,.,.,.
H_RioPiedras,2023,RunOfRiver,Antioquia,Water,.,.,.
H_RioPiedras,2026,RunOfRiver,Antioquia,Water,.,.,.
H_RioSapuye,2023,Hidro,Surocciden,Water,.,.,.
H_RioSapuye,2026,Hidro,Surocciden,Water,.,.,.
H_Rumor,2023,Hidro,Surocciden,Water,.,.,.
H_Rumor,2026,Hidro,Surocciden,Water,.,.,.
H_Sajandi,2023,Hidro,Surocciden,Water,.,.,.
H_Sajandi,2026,Hidro,Surocciden,Water,.,.,.
H_SanAndres2,2023,Hidro,Antioquia,Water,.,.,.
H_SanAndres2,2026,Hidro,Antioquia,Water,.,.,.
H_SanCancio,2023,Hidro,Surocciden,Water,.,.,.
H_SanCancio,2026,Hidro,Surocciden,Water,.,.,.
H_SanJose,2023,Hidro,Surocciden,Water,.,.,.
H_SanJose,2026,Hidro,Surocciden,Water,.,.,.
H_SanJosMoII,2023,Hidro,Antioquia,Water,.,.,.
H_SanJosMoII,2026,Hidro,Antioquia,Water,.,.,.
H_SanMatias,2023,Hidro,Antioquia,Water,.,.,.
H_SanMatias,2026,Hidro,Antioquia,Water,.,.,.
H_SantaAna,2023,Hidro,Oriental,Water,.,.,.
H_SantaAna,2026,Hidro,Oriental,Water,.,.,.
H_SantaRita,2023,Hidro,Antioquia,Water,.,.,.
H_SantaRita,2026,Hidro,Antioquia,Water,.,.,.
H_Santiago,2023,Hidro,Antioquia,Water,.,.,.
H_Santiago,2026,Hidro,Antioquia,Water,.,.,.
H_SBartolome,2023,Hidro,Nordeste,Water,19.9,.,6.13517e+07
H_SBartolome,2026,Hidro,Nordeste,Water,.,.,.
H_SFrancisPu,2023,Hidro,Surocciden,Water,.,.,.
H_SFrancisPu,2026,Hidro,Surocciden,Water,.,.,.
H_Silvia,2023,Hidro,Surocciden,Water,.,.,.
H_Silvia,2026,Hidro,Surocciden,Water,.,.,.
H_Suba,2023,Hidro,Oriental,Water,.,.,.
H_Suba,2026,Hidro,Oriental,Water,.,.,.
H_Sueva2,2023,Hidro,Oriental,Water,.,.,.
H_Sueva2,2026,Hidro,Oriental,Water,.,.,.
H_TuluaAlto,2023,Hidro,Surocciden,Water,.,.,.
H_TuluaAlto,2026,Hidro,Surocciden,Water,.,.,.
H_TuluaBajo,2023,Hidro,Surocciden,Water,.,.,.
H_TuluaBajo,2026,Hidro,Surocciden,Water,.,.,.
H_Tunjita,2023,Hidro,Oriental,Water,.,.,.
H_Tunjita,2026,Hidro,Oriental,Water,.,.,.
H_Union,2023,Hidro,Surocciden,Water,.,.,.
H_Union,2026,Hidro,Surocciden,Water,.,.,.
H_Urrao,2023,Hidro,Antioquia,Water,.,.,.
H_Urrao,2026,Hidro,Antioquia,Water,.,.,.
H_Usaquen,2023,Hidro,Oriental,Water,.,.,.
H_Usaquen,2026,Hidro,Oriental,Water,.,.,.
H_AutGold,2023,Hidro,Antioquia,Water,.,.,.
H_AutGold,2026,Hidro,Antioquia,Water,.,.,.
H_VentanaA,2023,Hidro,Surocciden,Water,.,.,.
H_VentanaA,2026,Hidro,Surocciden,Water,.,.,.
H_VentanaB,2023,Hidro,Surocciden,Water,.,.,.
H_VentanaB,2026,Hidro,Surocciden,Water,.,.,.
H_Violetas,2023,Hidro,Antioquia,Water,.,.,.
H_Violetas,2026,Hidro,Antioquia,Water,.,.,.
H_Zeus,2023,Hidro,Antioquia,Water,.,.,.
H_Zeus,2026,Hidro,Antioquia,Water,.,.,.
INSULA,2023,Hidro,Surocciden,Water,.,.,.
INSULA,2026,Hidro,Surocciden,Water,.,.,.
ITUANGO,2023,Hidro,Antioquia,Water,.,.,.
ITUANGO,2026,Hidro,Antioquia,Water,.,.,.
H_PAGUA,2023,Hidro,Surocciden,Water,.,.,.
H_PAGUA,2026,Hidro,Surocciden,Water,.,.,.
H_GUATRON,2023,Hidro,Antioquia,Water,.,.,.
H_GUATRON,2026,Hidro,Antioquia,Water,.,.,.
H_ALBAN,2023,Hidro,Surocciden,Water,.,.,.
H_ALBAN,2026,Hidro,Surocciden,Water,.,.,.
S_Dulima,2023,pv_solar,Surocciden,Solar,21.9,.,2.90613e+07
S_Dulima,2026,pv_solar,Surocciden,Solar,.,.,.
S_Cauca,2023,pv_solar,Surocciden,Solar,.,.,.
S_Cauca,2026,pv_solar,Surocciden,Solar,.,.,.
S_Ferch2,2023,pv_solar,Nordeste,Solar,.,.,.
S_Ferch2,2026,pv_solar,Nordeste,Solar,.,.,.
S_Salado,2023,pv_solar,Surocciden,Solar,0.1,.,132700
S_Salado,2026,pv_solar,Surocciden,Solar,.,.,.
S_AutJeans,2023,pv_solar,Antioquia,Solar,1.39,.,1.84453e+06
S_AutJeans,2026,pv_solar,Antioquia,Solar,.,.,.
S_AutPintuco,2023,pv_solar,Antioquia,Solar,1.41,.,1.87107e+06
S_AutPintuco,2026,pv_solar,Antioquia,Solar,.,.,.
S_Palmira3,2023,pv_solar,Surocciden,Solar,7.4,.,9.8198e+06
S_Palmira3,2026,pv_solar,Surocciden,Solar,.,.,.
S_Belmonte,2023,pv_solar,Surocciden,Solar,.,.,.
S_Belmonte,2026,pv_solar,Surocciden,Solar,.,.,.
S_Termotasajero,2023,pv_solar,Nordeste,Solar,.,.,.
S_Termotasajero,2026,pv_solar,Nordeste,Solar,.,.,.
S_Victoria_I,2023,pv_solar,Surocciden,Solar,21.9,.,2.90613e+07
S_Victoria_I,2026,pv_solar,Surocciden,Solar,.,.,.
S_Victoria_II,2023,pv_solar,Surocciden,Solar,21.9,.,2.90613e+07
S_Victoria_II,2026,pv_solar,Surocciden,Solar,.,.,.
S_Flandes,2023,pv_solar,Surocciden,Solar,21.9,.,2.90613e+07
S_Flandes,2026,pv_solar,Surocciden,Solar,.,.,.
S_BSLI,2023,pv_solar,Oriental,Solar,.,.,.
S_BSLI,2026,pv_solar,Oriental,Solar,.,.,.
S_BSLII,2023,pv_solar,Oriental,Solar,.,.,.
S_BSLII,2026,pv_solar,Oriental,Solar,.,.,.
S_BSLIII,2023,pv_solar,Oriental,Solar,.,.,.
S_BSLIII,2026,pv_solar,Oriental,Solar,.,.,.
S_Espinal,2023,pv_solar,Antioquia,Solar,.,.,.
S_Espinal,2026,pv_solar,Antioquia,Solar,.,.,.
JAGUAS,2023,Hidro,Antioquia,Water,.,.,.
JAGUAS,2026,Hidro,Antioquia,Water,.,.,.
LA TASAJERA,2023,Hidro,Antioquia,Water,.,.,.
LA TASAJERA,2026,Hidro,Antioquia,Water,.,.,.
MERILECTRICA,2023,Thermal,Nordeste,GASNACIO,.,.,.
MERILECTRICA,2026,Thermal,Nordeste,GASNACIO,.,.,.
MIEL I,2023,Hidro,Surocciden,Water,.,.,.
MIEL I,2026,Hidro,Surocciden,Water,.,.,.
PAIPA 1,2023,Thermal,Nordeste,CARBON,.,.,.
PAIPA 1,2026,Thermal,Nordeste,CARBON,.,.,.
PAIPA 2,2023,Thermal,Nordeste,CARBON,.,.,.
PAIPA 2,2026,Thermal,Nordeste,CARBON,.,.,.
PAIPA 3,2023,Thermal,Nordeste,CARBON,.,.,.
PAIPA 3,2026,Thermal,Nordeste,CARBON,.,.,.
PAIPA 4,2023,Thermal,Nordeste,CARBON,.,.,.
PAIPA 4,2026,Thermal,Nordeste,CARBON,.,.,.
PLAYAS,2023,Hidro,Antioquia,Water,.,.,.
PLAYAS,2026,Hidro,Antioquia,Water,.,.,.
PORCE II,2023,Hidro,Antioquia,Water,.,.,.
PORCE II,2026,Hidro,Antioquia,Water,.,.,.
