GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
AMOYA,2023,RunOfRiver,Surocciden,Water,80,0,.,8.9784e+06,3.5024e+06
AMOYA,2026,RunOfRiver,Surocciden,Water,80,0,.,8.9784e+06,3.5024e+06
BARRANQUILL3,2023,Thermal,Caribe,GASIMPOR,60,0,.,6.7716e+06,8.5932e+06
BARRANQUILL3,2026,Thermal,Caribe,GASIMPOR,60,0,.,6.7716e+06,8.5932e+06
BARRANQUILL4,2023,Thermal,Caribe,GASIMPOR,60,0,.,6.7824e+06,8.5932e+06
BARRANQUILL4,2026,Thermal,Caribe,GASIMPOR,60,0,.,6.7824e+06,8.5932e+06
BETANIA,2023,Hidro,Surocciden,Water,540,0,.,6.11874e+07,2.36412e+07
BETANIA,2026,Hidro,Surocciden,Water,540,0,.,6.11874e+07,2.36412e+07
C_LLERAS_R,2023,RunOfRiver,Antioquia,Water,78,0,.,8.85924e+06,3.41484e+06
C_LLERAS_R,2026,RunOfRiver,Antioquia,Water,78,0,.,8.85924e+06,3.41484e+06
CALDERAS,2023,Hidro,Antioquia,Water,19.9,0,.,2.26203e+06,871222
CALDERAS,2026,Hidro,Antioquia,Water,19.9,0,.,2.26203e+06,871222
CALIMA,2023,Hidro,Surocciden,Water,132,0,.,1.50163e+07,5.77896e+06
CALIMA,2026,Hidro,Surocciden,Water,132,0,.,1.50163e+07,5.77896e+06
CANDELARIA,2023,Thermal,Caribe,GASIMPOR,555,0,.,6.32867e+07,7.94871e+07
CANDELARIA,2026,Thermal,Caribe,GASIMPOR,555,0,.,6.32867e+07,7.94871e+07
CARTAGENA1,2023,Thermal,Caribe,COMBUSTOLEO,52,0,.,5.94828e+06,7.44744e+06
CARTAGENA1,2026,Thermal,Caribe,COMBUSTOLEO,52,0,.,5.94828e+06,7.44744e+06
CARTAGENA2,2023,Thermal,Caribe,COMBUSTOLEO,60,0,.,6.8742e+06,8.5932e+06
CARTAGENA2,2026,Thermal,Caribe,COMBUSTOLEO,60,0,.,6.8742e+06,8.5932e+06
CARTAGENA3,2023,Thermal,Caribe,COMBUSTOLEO,66,0,.,7.5735e+06,9.45252e+06
CARTAGENA3,2026,Thermal,Caribe,COMBUSTOLEO,66,0,.,7.5735e+06,9.45252e+06
CHARQUITO,2023,Hidro,Oriental,Water,19.4,0,.,5.38292e+06,849332
CHARQUITO,2026,Hidro,Oriental,Water,19.4,0,.,5.38292e+06,849332
CHIVOR,2023,Hidro,Oriental,Water,1000,0,.,1.1529e+08,4.378e+07
CHIVOR,2026,Hidro,Oriental,Water,1000,0,.,1.1529e+08,4.378e+07
CUCUANA,2023,RunOfRiver,Surocciden,Water,56,0,.,6.51168e+06,2.45168e+06
CUCUANA,2026,RunOfRiver,Surocciden,Water,56,0,.,6.51168e+06,2.45168e+06
DARIO VALENC,2023,RunOfRiver,Oriental,Water,150,0,.,1.74555e+07,6.567e+06
DARIO VALENC,2026,RunOfRiver,Oriental,Water,150,0,.,1.74555e+07,6.567e+06
EL QUIMBO,2023,Hidro,Surocciden,Water,400,0,.,4.6728e+07,1.7512e+07
EL QUIMBO,2026,Hidro,Surocciden,Water,400,0,.,4.6728e+07,1.7512e+07
ELTESORITO,2023,Thermal,Caribe,GASNACIO,200,0,.,5.5368e+07,2.8644e+07
ELTESORITO,2026,Thermal,Caribe,GASNACIO,200,0,.,5.5368e+07,2.8644e+07
ESCUELAMINAS,2023,RunOfRiver,Antioquia,Water,55,0,.,1.52609e+07,2.4079e+06
ESCUELAMINAS,2026,RunOfRiver,Antioquia,Water,55,0,.,1.52609e+07,2.4079e+06
ESMERALDA,2023,RunOfRiver,Surocciden,Water,30,0,.,3.5208e+06,1.3134e+06
ESMERALDA,2026,RunOfRiver,Surocciden,Water,30,0,.,3.5208e+06,1.3134e+06
FLORES 1,2023,Thermal,Caribe,GASIMPOR,160,0,.,1.88208e+07,2.29152e+07
FLORES 1,2026,Thermal,Caribe,GASIMPOR,160,0,.,1.88208e+07,2.29152e+07
FLORES4,2023,Thermal,Caribe,GASNACIO,445,0,.,1.23194e+08,6.37329e+07
FLORES4,2026,Thermal,Caribe,GASNACIO,445,0,.,1.23194e+08,6.37329e+07
GUAJIRA1,2023,Thermal,Caribe,CARBON,145,0,.,1.71086e+07,2.07669e+07
GUAJIRA1,2026,Thermal,Caribe,CARBON,145,0,.,1.71086e+07,2.07669e+07
GUAJIRA2,2023,Thermal,Caribe,CARBON,130,0,.,1.53621e+07,1.86186e+07
GUAJIRA2,2026,Thermal,Caribe,CARBON,130,0,.,1.53621e+07,1.86186e+07
GUATAPE,2023,Hidro,Antioquia,Water,560,0,.,6.63768e+07,2.45168e+07
GUATAPE,2026,Hidro,Antioquia,Water,560,0,.,6.63768e+07,2.45168e+07
GUAVIO,2023,Hidro,Oriental,Water,1250,0,.,1.48275e+08,5.4725e+07
GUAVIO,2026,Hidro,Oriental,Water,1250,0,.,1.48275e+08,5.4725e+07
H_AguaFresca,2023,Hidro,Antioquia,Water,7.29,0,.,815532,319156
H_AguaFresca,2026,Hidro,Antioquia,Water,7.29,0,.,815532,319156
H_Alejandria,2023,Hidro,Antioquia,Water,15,0,.,1.6794e+06,656700
H_Alejandria,2026,Hidro,Antioquia,Water,15,0,.,1.6794e+06,656700
H_Amaime,2023,Hidro,Surocciden,Water,19.17,0,.,2.14972e+06,839263
H_Amaime,2026,Hidro,Surocciden,Water,19.17,0,.,2.14972e+06,839263
H_Amalfi,2023,Hidro,Antioquia,Water,0.81,0,.,224751,35461.8
H_Amalfi,2026,Hidro,Antioquia,Water,0.81,0,.,224751,35461.8
H_America,2023,Hidro,Antioquia,Water,0.41,0,.,113763,17949.8
H_America,2026,Hidro,Antioquia,Water,0.41,0,.,113763,17949.8
H_Asnazu,2023,Hidro,Surocciden,Water,0.45,0,.,124862,19701
H_Asnazu,2026,Hidro,Surocciden,Water,0.45,0,.,124862,19701
H_AuresBajo,2023,Hidro,Antioquia,Water,19.4,0,.,5.38292e+06,849332
H_AuresBajo,2026,Hidro,Antioquia,Water,19.4,0,.,5.38292e+06,849332
H_AutCemNare,2023,Hidro,Antioquia,Water,9,0,.,2.49723e+06,394020
H_AutCemNare,2026,Hidro,Antioquia,Water,9,0,.,2.49723e+06,394020
H_Ayura,2023,Hidro,Antioquia,Water,16.7,0,.,4.63375e+06,731126
H_Ayura,2026,Hidro,Antioquia,Water,16.7,0,.,4.63375e+06,731126
H_Barrancas,2023,Hidro,Antioquia,Water,4.7,0,.,1.30411e+06,205766
H_Barrancas,2026,Hidro,Antioquia,Water,4.7,0,.,1.30411e+06,205766
H_Barroso,2023,Hidro,Antioquia,Water,19.9,0,.,2.25308e+06,871222
H_Barroso,2026,Hidro,Antioquia,Water,19.9,0,.,2.25308e+06,871222
H_Bayona,2023,Hidro,Surocciden,Water,0.6,0,.,166482,26268
H_Bayona,2026,Hidro,Surocciden,Water,0.6,0,.,166482,26268
H_Belmonte,2023,Hidro,Surocciden,Water,3.4,0,.,943398,148852
H_Belmonte,2026,Hidro,Surocciden,Water,3.4,0,.,943398,148852
H_CampestreC,2023,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_CampestreC,2026,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_Cantayus,2023,Hidro,Antioquia,Water,4.32,0,.,1.19867e+06,189130
H_Cantayus,2026,Hidro,Antioquia,Water,4.32,0,.,1.19867e+06,189130
H_Caracoli,2023,RunOfRiver,Antioquia,Water,3.75,0,.,1.04051e+06,164175
H_Caracoli,2026,RunOfRiver,Antioquia,Water,3.75,0,.,1.04051e+06,164175
H_Caruquia,2023,Hidro,Antioquia,Water,9.5,0,.,1.09184e+06,415910
H_Caruquia,2026,Hidro,Antioquia,Water,9.5,0,.,1.09184e+06,415910
H_Cascada,2023,Hidro,Nordeste,Water,3,0,.,832410,131340
H_Cascada,2026,Hidro,Nordeste,Water,3,0,.,832410,131340
H_CascadaAbe,2023,Hidro,Antioquia,Water,3,0,.,832410,131340
H_CascadaAbe,2026,Hidro,Antioquia,Water,3,0,.,832410,131340
H_CascadaAnt,2023,Hidro,Antioquia,Water,2.3,0,.,638181,100694
H_CascadaAnt,2026,Hidro,Antioquia,Water,2.3,0,.,638181,100694
H_CascadaGra,2023,Hidro,Antioquia,Water,2.09,0,.,579912,91500.2
H_CascadaGra,2026,Hidro,Antioquia,Water,2.09,0,.,579912,91500.2
