load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q1_labor_0h,3875.05,0,-2781.27,1093.78,0
Antioquia,2023_Q1_labor_1h,3772.41,0,-2739.87,1032.55,0
Antioquia,2023_Q1_labor_2h,3709.71,0,-2712.44,997.272,0
Antioquia,2023_Q1_labor_3h,3663.26,0,-2691,972.263,0
Antioquia,2023_Q1_labor_4h,3639.92,0,-2679.67,960.252,0
Antioquia,2023_Q1_labor_5h,3668.06,0,-2693,975.055,0
Antioquia,2023_Q1_labor_6h,3737.07,0,-2721.89,1015.18,0
Antioquia,2023_Q1_labor_7h,3770.25,0,-2731.42,1038.83,0
Antioquia,2023_Q1_labor_8h,3869.16,0,-2767.62,1101.54,0
Antioquia,2023_Q1_labor_9h,3973.95,0,-2804.12,1169.83,0
Antioquia,2023_Q1_labor_10h,4037.42,0,-2825.06,1212.36,0
Antioquia,2023_Q1_labor_11h,4102.63,0,-2848.19,1254.44,0
Antioquia,2023_Q1_labor_12h,4157.37,0,-2869.48,1287.89,0
Antioquia,2023_Q1_labor_13h,4151.41,0,-2869.14,1282.28,0
Antioquia,2023_Q1_labor_14h,4160.49,0,-2875.42,1285.08,0
Antioquia,2023_Q1_labor_15h,4188.11,0,-2890.3,1297.82,0
Antioquia,2023_Q1_labor_16h,4188.26,0,-2893.34,1294.92,0
Antioquia,2023_Q1_labor_17h,4157.27,0,-2884.13,1273.13,0
Antioquia,2023_Q1_labor_18h,4117.53,0,-2869.11,1248.43,0
Antioquia,2023_Q1_labor_19h,4228.36,0,-2914.84,1313.53,0
Antioquia,2023_Q1_labor_20h,4254.12,0,-2926.22,1327.9,0
Antioquia,2023_Q1_labor_21h,4196.45,0,-2901.98,1294.47,0
Antioquia,2023_Q1_labor_22h,4103.54,0,-2865.38,1238.16,0
Antioquia,2023_Q1_labor_23h,3984.63,0,-2821.14,1163.49,0
Antioquia,2023_Q1_holidays_0h,3831.41,0,-2804.83,1026.58,0
Antioquia,2023_Q1_holidays_1h,3784.46,0,-2781.41,1003.05,0
Antioquia,2023_Q1_holidays_2h,3716.06,0,-2746.36,969.7,0
Antioquia,2023_Q1_holidays_3h,3658.6,0,-2716.32,942.278,0
Antioquia,2023_Q1_holidays_4h,3615.08,0,-2693.54,921.532,0
Antioquia,2023_Q1_holidays_5h,3590.94,0,-2680.59,910.347,0
Antioquia,2023_Q1_holidays_6h,3565.15,0,-2663.67,901.478,0
Antioquia,2023_Q1_holidays_7h,3489.91,0,-2616.19,873.72,0
Antioquia,2023_Q1_holidays_8h,3535.27,0,-2632.91,902.352,0
Antioquia,2023_Q1_holidays_9h,3632.1,0,-2677.94,954.16,0
Antioquia,2023_Q1_holidays_10h,3721.89,0,-2719.95,1001.94,0
Antioquia,2023_Q1_holidays_11h,3796.19,0,-2755.74,1040.45,0
Antioquia,2023_Q1_holidays_12h,3862.57,0,-2789.66,1072.92,0
Antioquia,2023_Q1_holidays_13h,3897.1,0,-2810.17,1086.92,0
Antioquia,2023_Q1_holidays_14h,3901.76,0,-2816.89,1084.86,0
Antioquia,2023_Q1_holidays_15h,3891.92,0,-2817.94,1073.97,0
Antioquia,2023_Q1_holidays_16h,3882.57,0,-2818.01,1064.56,0
Antioquia,2023_Q1_holidays_17h,3878.52,0,-2822.41,1056.11,0
Antioquia,2023_Q1_holidays_18h,3894.87,0,-2832.94,1061.94,0
Antioquia,2023_Q1_holidays_19h,4075.83,0,-2922.94,1152.89,0
Antioquia,2023_Q1_holidays_20h,4137,0,-2953.34,1183.66,0
Antioquia,2023_Q1_holidays_21h,4107.91,0,-2938.98,1168.93,0
Antioquia,2023_Q1_holidays_22h,4039.82,0,-2906,1133.82,0
Antioquia,2023_Q1_holidays_23h,3941.96,0,-2858.77,1083.19,0
Antioquia,2023_Q2_labor_0h,3679.76,0,-2594.14,1085.63,0
Antioquia,2023_Q2_labor_1h,3538.97,0,-2517.02,1021.94,0
Antioquia,2023_Q2_labor_2h,3450.86,0,-2463.11,987.747,0
Antioquia,2023_Q2_labor_3h,3385.19,0,-2421.8,963.386,0
Antioquia,2023_Q2_labor_4h,3354.25,0,-2401.88,952.367,0
Antioquia,2023_Q2_labor_5h,3410.32,0,-2437.9,972.424,0
Antioquia,2023_Q2_labor_6h,3525.42,0,-2504.87,1020.55,0
Antioquia,2023_Q2_labor_7h,3552.76,0,-2511.68,1041.08,0
Antioquia,2023_Q2_labor_8h,3676.96,0,-2574.39,1102.58,0
Antioquia,2023_Q2_labor_9h,3789.93,0,-2623.65,1166.28,0
Antioquia,2023_Q2_labor_10h,3852.16,0,-2645.64,1206.51,0
Antioquia,2023_Q2_labor_11h,3923.3,0,-2673.36,1249.94,0
Antioquia,2023_Q2_labor_12h,3979.07,0,-2696.37,1282.7,0
Antioquia,2023_Q2_labor_13h,3965.32,0,-2692.57,1272.74,0
Antioquia,2023_Q2_labor_14h,3981.77,0,-2702.48,1279.29,0
Antioquia,2023_Q2_labor_15h,4014.11,0,-2720.04,1294.07,0
Antioquia,2023_Q2_labor_16h,4020.06,0,-2726.57,1293.49,0
Antioquia,2023_Q2_labor_17h,3991.95,0,-2719.22,1272.73,0
Antioquia,2023_Q2_labor_18h,3938.79,0,-2699.02,1239.77,0
Antioquia,2023_Q2_labor_19h,4044.02,0,-2743.01,1301.01,0
