,Quarter,DayType,Tech,DispatchGen_MW,DispatchGW,Category
0,Q1,Holiday,Hydro,152119.1515779023,152.1191515779023,Q1-Holiday
1,Q1,Holiday,Run of River,8370.3080612,8.3703080612,Q1-Holiday
2,Q1,Holiday,Solar,4260.743512915474,4.260743512915473,Q1-Holiday
3,Q1,Holiday,Thermal,28562.9990003,28.5629990003,Q1-Holiday
4,Q1,Holiday,Wind,643.9123115,0.6439123115,Q1-Holiday
5,Q1,Labor,Hydro,167331.4945147261,167.3314945147261,Q1-Labor
6,Q1,Labor,Run of River,8620.69001765,8.62069001765,Q1-Labor
7,Q1,Labor,Solar,4269.6878902484705,4.269687890248471,Q1-Labor
8,Q1,Labor,Thermal,39857.314907,39.857314907,Q1-Labor
9,Q1,Labor,Wind,637.9175318,0.6379175318,Q1-Labor
10,Q2,Holiday,Hydro,146815.76450331,146.81576450331,Q2-Holiday
11,Q2,Holiday,Run of River,11880.1629598,11.8801629598,Q2-Holiday
12,Q2,Holiday,Solar,3837.6519547096286,3.837651954709629,Q2-Holiday
13,Q2,Holiday,Thermal,30963.7400028,30.9637400028,Q2-Holiday
14,Q2,Holiday,Wind,603.2691636,0.6032691635999999,Q2-Holiday
15,Q2,Labor,Hydro,157292.88445689128,157.29288445689127,Q2-Labor
16,Q2,Labor,Run of River,11568.7323439,11.568732343899999,Q2-Labor
17,Q2,Labor,Solar,3864.2716161222584,3.8642716161222586,Q2-Labor
18,Q2,Labor,Thermal,46383.3228854,46.3833228854,Q2-Labor
19,Q2,Labor,Wind,603.045054,0.6030450540000001,Q2-Labor
20,Q3,Holiday,Hydro,153933.94667099,153.93394667099,Q3-Holiday
21,Q3,Holiday,Run of River,11431.1518482,11.431151848199999,Q3-Holiday
22,Q3,Holiday,Solar,3714.0747177460285,3.7140747177460285,Q3-Holiday
23,Q3,Holiday,Thermal,28039.0076588,28.039007658800003,Q3-Holiday
24,Q3,Holiday,Wind,602.4859813,0.6024859813000001,Q3-Holiday
25,Q3,Labor,Hydro,164621.535936803,164.621535936803,Q3-Labor
26,Q3,Labor,Run of River,11173.8683496,11.1738683496,Q3-Labor
27,Q3,Labor,Solar,3693.2444913221448,3.6932444913221447,Q3-Labor
28,Q3,Labor,Thermal,45371.8872012,45.371887201199996,Q3-Labor
29,Q3,Labor,Wind,590.7049124,0.5907049124,Q3-Labor
30,Q4,Holiday,Hydro,149838.64098438,149.83864098438,Q4-Holiday
31,Q4,Holiday,Run of River,10764.9977307,10.764997730700001,Q4-Holiday
32,Q4,Holiday,Solar,3503.492046575623,3.503492046575623,Q4-Holiday
33,Q4,Holiday,Thermal,41720.023891,41.720023891,Q4-Holiday
34,Q4,Holiday,Wind,517.6477155,0.5176477155,Q4-Holiday
35,Q4,Labor,Hydro,167974.32837591,167.97432837591,Q4-Labor
36,Q4,Labor,Run of River,11003.5328615,11.0035328615,Q4-Labor
37,Q4,Labor,Solar,3497.5712590081102,3.4975712590081103,Q4-Labor
38,Q4,Labor,Thermal,53436.1231217,53.4361231217,Q4-Labor
39,Q4,Labor,Wind,513.4181757,0.5134181757,Q4-Labor
