Quarter,gen_tech,Type,Hour,gen_max_capacity_factor
Quarter 1,pv_solar,labor,0,0.0
Quarter 1,pv_solar,labor,1,0.0
Quarter 1,pv_solar,labor,2,0.0
Quarter 1,pv_solar,labor,3,0.0
Quarter 1,pv_solar,labor,4,0.0
Quarter 1,pv_solar,labor,5,0.00010704434493123664
Quarter 1,pv_solar,labor,6,0.05899550625086114
Quarter 1,pv_solar,labor,7,0.21856635878705596
Quarter 1,pv_solar,labor,8,0.4159009940071004
Quarter 1,pv_solar,labor,9,0.5943984788418496
Quarter 1,pv_solar,labor,10,0.7275824114072565
Quarter 1,pv_solar,labor,11,0.7946729534147832
Quarter 1,pv_solar,labor,12,0.7905749593668392
Quarter 1,pv_solar,labor,13,0.7132918695084454
Quarter 1,pv_solar,labor,14,0.5728498091231222
Quarter 1,pv_solar,labor,15,0.39391103688049633
Quarter 1,pv_solar,labor,16,0.20442246549873816
Quarter 1,pv_solar,labor,17,0.044506406937625434
Quarter 1,pv_solar,labor,18,6.356308992453954e-05
Quarter 1,pv_solar,labor,19,0.0
Quarter 1,pv_solar,labor,20,0.0
Quarter 1,pv_solar,labor,21,0.0
Quarter 1,pv_solar,labor,22,0.0
Quarter 1,pv_solar,labor,23,0.0
Quarter 2,pv_solar,labor,0,0.0
Quarter 2,pv_solar,labor,1,0.0
Quarter 2,pv_solar,labor,2,0.0
Quarter 2,pv_solar,labor,3,0.0
Quarter 2,pv_solar,labor,4,0.0
Quarter 2,pv_solar,labor,5,0.0008025180392429339
Quarter 2,pv_solar,labor,6,0.05974165710706482
Quarter 2,pv_solar,labor,7,0.20897617264022847
Quarter 2,pv_solar,labor,8,0.3844691982608087
Quarter 2,pv_solar,labor,9,0.5469415950219049
Quarter 2,pv_solar,labor,10,0.6675748268810356
Quarter 2,pv_solar,labor,11,0.7260878663110547
Quarter 2,pv_solar,labor,12,0.7173637885139994
Quarter 2,pv_solar,labor,13,0.6435421761934079
Quarter 2,pv_solar,labor,14,0.5151618509354903
Quarter 2,pv_solar,labor,15,0.35578639769351167
Quarter 2,pv_solar,labor,16,0.1925677108767783
Quarter 2,pv_solar,labor,17,0.05104020100801735
Quarter 2,pv_solar,labor,18,0.0002997274736604886
Quarter 2,pv_solar,labor,19,0.0
Quarter 2,pv_solar,labor,20,0.0
Quarter 2,pv_solar,labor,21,0.0
Quarter 2,pv_solar,labor,22,0.0
Quarter 2,pv_solar,labor,23,0.0
Quarter 3,pv_solar,labor,0,0.0
Quarter 3,pv_solar,labor,1,0.0
Quarter 3,pv_solar,labor,2,0.0
Quarter 3,pv_solar,labor,3,0.0
Quarter 3,pv_solar,labor,4,0.0
Quarter 3,pv_solar,labor,5,0.001519353904282671
Quarter 3,pv_solar,labor,6,0.06370163571242987
Quarter 3,pv_solar,labor,7,0.21186246493465719
Quarter 3,pv_solar,labor,8,0.38130261830023576
Quarter 3,pv_solar,labor,9,0.5360492167821511
Quarter 3,pv_solar,labor,10,0.6516565157193942
Quarter 3,pv_solar,labor,11,0.7111425540080805
Quarter 3,pv_solar,labor,12,0.7040653899193663
Quarter 3,pv_solar,labor,13,0.6333898533737737
Quarter 3,pv_solar,labor,14,0.5111594537492925
Quarter 3,pv_solar,labor,15,0.3578844384870215
Quarter 3,pv_solar,labor,16,0.19945444921703376
Quarter 3,pv_solar,labor,17,0.05809731164493543
Quarter 3,pv_solar,labor,18,0.0006006212239457191
Quarter 3,pv_solar,labor,19,0.0
Quarter 3,pv_solar,labor,20,0.0
Quarter 3,pv_solar,labor,21,0.0
Quarter 3,pv_solar,labor,22,0.0
Quarter 3,pv_solar,labor,23,0.0
Quarter 4,pv_solar,labor,0,0.0
Quarter 4,pv_solar,labor,1,0.0
Quarter 4,pv_solar,labor,2,0.0
Quarter 4,pv_solar,labor,3,0.0
Quarter 4,pv_solar,labor,4,0.0
Quarter 4,pv_solar,labor,5,0.00021734349345851973
Quarter 4,pv_solar,labor,6,0.0469717827937984
Quarter 4,pv_solar,labor,7,0.1880814321789677
Quarter 4,pv_solar,labor,8,0.35744076088396365
Quarter 4,pv_solar,labor,9,0.5144748669037059
Quarter 4,pv_solar,labor,10,0.634252860472154
Quarter 4,pv_solar,labor,11,0.6968708929968273
Quarter 4,pv_solar,labor,12,0.6909875095049819
Quarter 4,pv_solar,labor,13,0.6194457131722412
Quarter 4,pv_solar,labor,14,0.49466366769392417
Quarter 4,pv_solar,labor,15,0.338384171678007
Quarter 4,pv_solar,labor,16,0.1789267786068103
Quarter 4,pv_solar,labor,17,0.04545967966859733
Quarter 4,pv_solar,labor,18,0.00010105848508098639
Quarter 4,pv_solar,labor,19,0.0
Quarter 4,pv_solar,labor,20,0.0
Quarter 4,pv_solar,labor,21,0.0
Quarter 4,pv_solar,labor,22,0.0
Quarter 4,pv_solar,labor,23,0.0
Quarter 1,Eolica,labor,0,0.836192178612392
Quarter 1,Eolica,labor,1,0.8296848976090176
Quarter 1,Eolica,labor,2,0.8229724397688161
Quarter 1,Eolica,labor,3,0.8205908742711738
Quarter 1,Eolica,labor,4,0.8165494446090663
Quarter 1,Eolica,labor,5,0.8150389303092913
Quarter 1,Eolica,labor,6,0.8107140599042096
Quarter 1,Eolica,labor,7,0.8034138588249439
Quarter 1,Eolica,labor,8,0.8002665457227037
Quarter 1,Eolica,labor,9,0.7968921424252837
Quarter 1,Eolica,labor,10,0.7992715731791873
Quarter 1,Eolica,labor,11,0.7944522874348299
Quarter 1,Eolica,labor,12,0.7940398308741236
Quarter 1,Eolica,labor,13,0.7961619840835904
Quarter 1,Eolica,labor,14,0.8043129637272045
Quarter 1,Eolica,labor,15,0.8151204879812609
Quarter 1,Eolica,labor,16,0.8340691632922276
Quarter 1,Eolica,labor,17,0.8702659310261128
Quarter 1,Eolica,labor,18,0.8937200111801747
Quarter 1,Eolica,labor,19,0.8952720664503157
Quarter 1,Eolica,labor,20,0.8917543633766708
Quarter 1,Eolica,labor,21,0.8816447998036433
Quarter 1,Eolica,labor,22,0.8697906229154438
Quarter 1,Eolica,labor,23,0.8518951853869484
Quarter 2,Eolica,labor,0,0.803354885088826
