year,Tech,BuildGen,text
2025,Hydro,12.391502000000001,12.39
2025,Thermal,5.8735,5.87
2025,Solar,2.1748109141,2.17
2025,Wind,1.2711796,
2025,Run of River,0.7820499999999999,
2025,Biomass,0.0,
2025,Geothermal,0.0,
2030,Hydro,13.591502,13.59
2030,Thermal,5.8735,5.87
2030,Solar,2.8808109141,2.88
2030,Wind,2.4681796,2.47
2030,Run of River,0.7820499999999999,
2030,Biomass,0.0,
2030,Geothermal,0.0,
2035,Hydro,13.591502,13.59
2035,Thermal,5.8735,5.87
2035,Solar,4.611475613700001,4.61
2035,Wind,3.996936,4.00
2035,Run of River,0.7820499999999999,
2035,Geothermal,0.15,
2035,Biomass,0.1,
2040,Hydro,13.591502,13.59
2040,Thermal,5.8735,5.87
2040,Solar,4.7314756129,4.73
2040,Wind,4.2050158,4.21
2040,Biogas,1.151,
2040,Biomass,0.82836667,
2040,Run of River,0.7820499999999999,
2040,Geothermal,0.15,
2045,Hydro,13.591502,13.59
2045,Wind,6.3310198,6.33
2045,Solar,6.1532720329,6.15
2045,Thermal,5.8735,5.87
2045,Biogas,1.322,
2045,Biomass,1.078,
2045,Run of River,0.7820499999999999,
2045,Geothermal,0.15,
2050,Hydro,13.591502,13.59
2050,Wind,10.856109681,10.86
2050,Solar,9.1616699699,9.16
2050,Thermal,5.8735,5.87
2050,Biogas,1.322,
2050,Biomass,1.078,
2050,Run of River,0.7820499999999999,
2050,Geothermal,0.15,
