PERIOD,AnnualEmissions_MtCO2_per_yr,Scenario
2024,10.7101,Switch Colombia Simulation
2025,12.3365,Switch Colombia Simulation
2026,6.04926,Switch Colombia Simulation
2027,4.15554,Switch Colombia Simulation
2028,3.90874,Switch Colombia Simulation
2029,3.05292,Switch Colombia Simulation
2030,4.21428,Switch Colombia Simulation
2031,3.6337,Switch Colombia Simulation
2032,3.23886,Switch Colombia Simulation
2033,3.03584,Switch Colombia Simulation
2034,4.25502,Switch Colombia Simulation
2035,3.15952,Switch Colombia Simulation
2024,5.89,Operational Simulation (UPME)
2025,5.13,Operational Simulation (UPME)
2026,4.63,Operational Simulation (UPME)
2027,3.96,Operational Simulation (UPME)
2028,3.7,Operational Simulation (UPME)
2029,3.63,Operational Simulation (UPME)
2030,3.74,Operational Simulation (UPME)
2031,2.89,Operational Simulation (UPME)
2032,2.6,Operational Simulation (UPME)
2033,2.59,Operational Simulation (UPME)
2034,3.01,Operational Simulation (UPME)
2035,2.8,Operational Simulation (UPME)
