PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total,AnnualEmissions_MtCO2_per_yr
2024,10710100.0,inf,.,0,0,10.7101
2025,12336500.0,inf,.,0,0,12.3365
2026,6049260.0,inf,.,0,0,6.04926
2027,4155540.0,inf,.,0,0,4.15554
2028,3908740.0,inf,.,0,0,3.90874
2029,3052920.0,inf,.,0,0,3.05292
2030,4214280.0,inf,.,0,0,4.21428
2031,3633700.0,inf,.,0,0,3.6337
2032,3238860.0,inf,.,0,0,3.23886
2033,3035840.0,inf,.,0,0,3.03584
2034,4255020.0,inf,.,0,0,4.25502
2035,3159520.0,inf,.,0,0,3.15952
