year,Tech,Energy_TWh_typical_yr,text
2024,Hydro,60.09093678491282,60.09
2024,Thermal,11.724401910900491,11.72
2024,Solar,7.511571481887526,7.51
2024,Run of River,3.8409275199186297,
2024,Wind,0.21427885091120422,
2024,Biomass,3.4345959958692756e-09,
2024,Geothermal,3.4345325711348837e-09,
2025,Hydro,60.09093678177167,60.09
2025,Thermal,13.636666543535434,13.64
2025,Solar,7.716878368981698,7.72
2025,Run of River,3.840927519577897,
2025,Wind,0.21427885056826113,
2025,Biomass,1.0735110072586534e-09,
2025,Geothermal,1.072941396111001e-09,
2026,Hydro,70.60293677251413,70.60
2026,Solar,7.717893452606567,7.72
2026,Thermal,6.180032314514034,6.18
2026,Run of River,3.8409275188389462,
2026,Wind,0.21427885051004517,
2026,Geothermal,4.868313592602768e-10,
2026,Biomass,4.867965759973991e-10,
2027,Hydro,70.60293676920334,70.60
2027,Solar,7.88309642854428,7.88
2027,Wind,4.51758774243552,
2027,Thermal,4.2396964552447605,
2027,Run of River,3.8409275186102203,
2027,Geothermal,6.324744710005622e-10,
2027,Biomass,6.324299643821848e-10,
2028,Hydro,70.58630134908,70.59
2028,Solar,7.9139992647248905,7.91
2028,Wind,7.448589331608016,7.45
2028,Thermal,3.9345421849344495,
2028,Run of River,3.835479339822887,
2028,Geothermal,7.942972847135635e-10,
2028,Biomass,7.94093362750525e-10,
2029,Hydro,70.60293676600647,70.60
2029,Wind,10.754531920616929,10.75
2029,Solar,8.242671152594093,8.24
2029,Run of River,3.840927519389739,
2029,Thermal,3.0083156386378973,
2029,Geothermal,1.0053591417884919e-09,
2029,Biomass,1.0047054233167777e-09,
2030,Hydro,70.60293676726869,70.60
2030,Wind,11.649972091979619,11.65
2030,Solar,8.590984272502745,8.59
2030,Thermal,4.60758758316947,4.61
2030,Run of River,3.84092751919923,
2030,Geothermal,1.5703977365029752e-09,
2030,Biomass,1.5689159218255758e-09,
2031,Hydro,70.60293676698062,70.60
2031,Wind,15.294966640951833,15.29
2031,Solar,8.551836371202048,8.55
2031,Thermal,3.9219539307830162,
2031,Run of River,3.8409275186816485,
2031,Geothermal,5.819479114736646e-09,
2031,Biomass,5.8160755311776415e-09,
2032,Hydro,70.60293675129567,70.60
2032,Wind,18.045601985020983,18.05
2032,Solar,8.540704398400583,8.54
2032,Run of River,3.840927516259705,
2032,Thermal,3.703556963166215,
2032,Geothermal,0.27954453865976037,
2032,Biomass,0.27907545116440863,
2033,Hydro,70.6029367650664,70.60
2033,Wind,21.143437881856375,21.14
2033,Solar,8.691794765144927,8.69
2033,Run of River,3.840927518218968,
2033,Thermal,3.6314817737403366,
2033,Geothermal,0.27954453580837973,
2033,Biomass,0.2790754482418643,
2034,Hydro,70.41088962485517,70.41
2034,Wind,21.44561455683388,21.45
2034,Solar,9.288648088061494,9.29
2034,Thermal,5.3608561831031,5.36
2034,Run of River,3.8165263050991736,
2034,Biomass,0.8655847146420718,
2034,Geothermal,0.48924390613011515,
2035,Hydro,70.55939497044105,70.56
2035,Wind,23.797475027062834,23.80
2035,Solar,10.215755562020234,10.22
2035,Thermal,4.393464896686187,
2035,Run of River,3.8311224592670428,
2035,Geothermal,1.3140000078905238,
2035,Biomass,0.8760000086130509,
