year,Tech,Energy_TWh_typical_yr,text
2024,Hydro,65.233,65.23
2024,Thermal,8.615,8.62
2024,Solar,3.651,
2024,Minors,1.191,
2024,Wind,0.063,
2025,Hydro,64.623,64.62
2025,Solar,10.202,10.20
2025,Thermal,7.686,7.69
2025,Minors,1.191,
2025,Wind,0.206,
2026,Hydro,64.781,64.78
2026,Solar,10.202,10.20
2026,Thermal,6.944,6.94
2026,Minors,1.191,
2026,Wind,0.206,
2027,Hydro,62.382,62.38
2027,Solar,10.66,10.66
2027,Thermal,6.122,6.12
2027,Wind,4.989,4.99
2027,Minors,1.191,
2028,Hydro,63.361,63.36
2028,Solar,10.848,10.85
2028,Wind,7.095,7.09
2028,Thermal,5.882000000000001,5.88
2028,Minors,1.191,
2029,Hydro,62.958,62.96
2029,Solar,11.292,11.29
2029,Wind,9.398,9.40
2029,Thermal,5.855,5.86
2029,Minors,1.191,
2030,Hydro,64.772,64.77
2030,Solar,11.434,11.43
2030,Wind,9.772,9.77
2030,Thermal,5.933,5.93
2030,Minors,1.191,
2031,Hydro,69.226,69.23
2031,Solar,11.577,11.58
2031,Wind,9.772,9.77
2031,Thermal,4.877,4.88
2031,Minors,1.191,
2032,Hydro,65.597,65.60
2032,Wind,16.615,16.61
2032,Solar,11.577,11.58
2032,Thermal,4.521,4.52
2032,Minors,1.191,
2033,Hydro,61.212,61.21
2033,Wind,23.941,23.94
2033,Solar,11.8,11.80
2033,Thermal,4.518,4.52
2033,Minors,1.191,
2034,Hydro,64.078,64.08
2034,Wind,23.941,23.94
2034,Solar,11.906,11.91
2034,Thermal,4.979,4.98
2034,Minors,1.191,
2035,Hydro,65.55,65.55
2035,Wind,26.201,26.20
2035,Solar,12.031,12.03
2035,Thermal,4.7330000000000005,4.73
2035,Minors,1.191,
