year,gen_tech,BuildGen,text
2023,Hydro,12.839,12.84
2023,Thermal,5.764,5.76
2023,Minors,1.341,1.34
2023,Solar,0.454,
2023,Wind,0.0,
2024,Hydro,12.839,12.84
2024,Thermal,5.764,5.76
2024,Minors,1.341,1.34
2024,Solar,1.119,1.12
2024,Wind,0.0,
2025,Hydro,12.839,12.84
2025,Thermal,5.764,5.76
2025,Solar,3.094,3.09
2025,Minors,1.341,1.34
2025,Wind,0.0,
2026,Hydro,12.839,12.84
2026,Thermal,5.764,5.76
2026,Solar,4.172,4.17
2026,Minors,1.341,1.34
2026,Wind,0.0,
2027,Hydro,12.839,12.84
2027,Thermal,5.764,5.76
2027,Solar,4.272,4.27
2027,Minors,1.341,1.34
2027,Wind,0.795,
2028,Hydro,12.839,12.84
2028,Thermal,5.764,5.76
2028,Solar,4.282,4.28
2028,Minors,1.341,1.34
2028,Wind,0.795,
2029,Hydro,12.839,12.84
2029,Thermal,5.764,5.76
2029,Solar,4.422,4.42
2029,Minors,1.341,1.34
2029,Wind,0.795,
2030,Hydro,12.973,12.97
2030,Thermal,5.764,5.76
2030,Solar,4.422,4.42
2030,Minors,1.341,1.34
2030,Wind,0.875,
2031,Hydro,12.973,12.97
2031,Thermal,5.764,5.76
2031,Solar,4.422,4.42
2031,Minors,1.341,1.34
2031,Wind,0.875,
2032,Hydro,12.973,12.97
2032,Thermal,5.764,5.76
2032,Solar,4.422,4.42
2032,Wind,2.301,2.30
2032,Minors,1.341,1.34
2033,Hydro,12.973,12.97
2033,Thermal,5.764,5.76
2033,Solar,4.422,4.42
2033,Wind,3.876,3.88
2033,Minors,1.341,1.34
2034,Hydro,12.973,12.97
2034,Thermal,5.764,5.76
2034,Solar,4.422,4.42
2034,Wind,3.876,3.88
2034,Minors,1.341,1.34
2035,Hydro,12.973,12.97
2035,Thermal,5.764,5.76
2035,Solar,4.442,4.44
2035,Wind,4.376,4.38
2035,Minors,1.341,1.34
