PERIOD,AnnualEmissions_MtCO2_per_yr,Scenario
2024,13.1834,Switch Colombia Simulation
2025,14.7951,Switch Colombia Simulation
2026,16.2264,Switch Colombia Simulation
2027,16.5887,Switch Colombia Simulation
2028,16.2297,Switch Colombia Simulation
2029,15.704,Switch Colombia Simulation
2030,17.2498,Switch Colombia Simulation
2031,18.6466,Switch Colombia Simulation
2032,20.2158,Switch Colombia Simulation
2033,21.5709,Switch Colombia Simulation
2034,22.9735,Switch Colombia Simulation
2035,24.4743,Switch Colombia Simulation
2024,7.02,Operational Simulation (UPME)
2025,7.59,Operational Simulation (UPME)
2026,8.84,Operational Simulation (UPME)
2027,8.99,Operational Simulation (UPME)
2028,9.45,Operational Simulation (UPME)
2029,10.24,Operational Simulation (UPME)
2030,11.64,Operational Simulation (UPME)
2031,12.91,Operational Simulation (UPME)
2032,15.86,Operational Simulation (UPME)
2033,17.89,Operational Simulation (UPME)
2034,19.15,Operational Simulation (UPME)
2035,20.56,Operational Simulation (UPME)
