PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total,AnnualEmissions_MtCO2_per_yr
2024,13769400.0,inf,.,0,0,13.7694
2025,15275600.0,inf,.,0,0,15.2756
2026,16647900.0,inf,.,0,0,16.6479
2027,16977500.0,inf,.,0,0,16.9775
2028,16714700.0,inf,.,0,0,16.7147
2029,16181000.0,inf,.,0,0,16.181
2030,17776400.0,inf,.,0,0,17.7764
2031,19170500.0,inf,.,0,0,19.1705
2032,20582400.0,inf,.,0,0,20.5824
2033,22005900.0,inf,.,0,0,22.0059
2034,23322800.0,inf,.,0,0,23.3228
2035,24823200.0,inf,.,0,0,24.8232
