year,Tech,Energy_TWh_typical_yr,text
2024,Hydro,59.26073473664878,59.26
2024,Thermal,16.612905432129253,16.61
2024,Run of River,3.8670128779951467,
2024,Solar,3.485475334187238,
2024,Wind,0.2142788478523334,
2025,Hydro,59.26073473722081,59.26
2025,Thermal,18.50429090639399,18.50
2025,Run of River,3.8670128781296893,
2025,Solar,3.690782236682715,
2025,Wind,0.21427884766224417,
2026,Hydro,59.26073473644514,59.26
2026,Thermal,20.662564588229447,20.66
2026,Solar,4.0932418820842384,
2026,Run of River,3.867012878245057,
2026,Wind,0.21427884777349754,
2027,Hydro,59.260734735931656,59.26
2027,Thermal,21.35589464658387,21.36
2027,Solar,4.332144459320617,
2027,Run of River,3.8670128781369586,
2027,Wind,1.911961216193224,
2028,Hydro,59.26073473599067,59.26
2028,Thermal,20.85492227808578,20.85
2028,Wind,4.842962813278155,4.84
2028,Solar,4.571047036142253,
2028,Run of River,3.8670128781056152,
2029,Hydro,59.260734736193356,59.26
2029,Thermal,20.0523037607737,20.05
2029,Wind,8.148905402179025,8.15
2029,Solar,4.800617481710067,4.80
2029,Run of River,3.867012878100491,
2030,Hydro,59.26073473515154,59.26
2030,Thermal,22.726896255334626,22.73
2030,Wind,8.14890540220883,8.15
2030,Solar,5.004057958291527,5.00
2030,Run of River,3.8670128783102053,
2031,Hydro,59.26073473614168,59.26
2031,Thermal,25.469700104576642,25.47
2031,Wind,8.148905402194153,8.15
2031,Solar,5.2074984341405814,5.21
2031,Run of River,3.86701287809106,
2032,Hydro,59.260734736103494,59.26
2032,Thermal,28.334411148884065,28.33
2032,Wind,8.14890540220601,8.15
2032,Solar,5.377343235585345,5.38
2032,Run of River,3.8670128781646134,
2033,Hydro,59.26073473594367,59.26
2033,Thermal,31.286721469168594,31.29
2033,Wind,8.148905402202407,8.15
2033,Solar,5.524790919766113,5.52
2033,Run of River,3.8670128782098425,
2034,Hydro,59.26073473574981,59.26
2034,Thermal,34.35842506690591,34.36
2034,Wind,8.148905402136444,8.15
2034,Solar,5.674105030643782,5.67
2034,Run of River,3.867012878140953,
2035,Hydro,59.26073473675508,59.26
2035,Thermal,37.47006061555449,37.47
2035,Wind,8.148905402184607,8.15
2035,Solar,5.801022025536469,5.80
2035,Run of River,3.8670128781286324,
