year,Tech,Energy_TWh_typical_yr,text
2024,Hydro,64.919,64.92
2024,Thermal,10.083,10.08
2024,Solar,2.496,
2024,Minors,1.191,
2024,Wind,0.063,
2025,Hydro,66.128,66.13
2025,Thermal,10.658999999999999,10.66
2025,Solar,3.487,
2025,Minors,1.191,
2025,Wind,0.206,
2026,Hydro,66.534,66.53
2026,Thermal,11.879,11.88
2026,Solar,3.711,
2026,Minors,1.191,
2026,Wind,0.206,
2027,Hydro,66.778,66.78
2027,Thermal,11.914,11.91
2027,Solar,3.965,
2027,Wind,1.513,
2027,Minors,1.191,
2028,Hydro,67.054,67.05
2028,Thermal,12.388,12.39
2028,Solar,4.133,4.13
2028,Wind,3.619,
2028,Minors,1.191,
2029,Hydro,65.906,65.91
2029,Thermal,13.391,13.39
2029,Wind,5.922,5.92
2029,Solar,4.294,4.29
2029,Minors,1.191,
2030,Hydro,66.412,66.41
2030,Thermal,15.149000000000001,15.15
2030,Wind,5.922,5.92
2030,Solar,4.436,4.44
2030,Minors,1.191,
2031,Hydro,67.994,67.99
2031,Thermal,16.994,16.99
2031,Wind,5.922,5.92
2031,Solar,4.579,4.58
2031,Minors,1.191,
2032,Hydro,65.973,65.97
2032,Thermal,21.903,21.90
2032,Wind,5.922,5.92
2032,Solar,4.698,4.70
2032,Minors,1.191,
2033,Hydro,64.781,64.78
2033,Thermal,26.031,26.03
2033,Wind,5.922,5.92
2033,Solar,4.802,4.80
2033,Minors,1.191,
2034,Hydro,65.564,65.56
2034,Thermal,28.468,28.47
2034,Wind,5.922,5.92
2034,Solar,4.908,4.91
2034,Minors,1.191,
2035,Hydro,66.333,66.33
2035,Thermal,31.061,31.06
2035,Wind,5.922,5.92
2035,Solar,4.996,5.00
2035,Minors,1.191,
2036,Hydro,67.345,67.34
2036,Thermal,33.43,33.43
2036,Wind,5.922,5.92
2036,Solar,5.064,5.06
2036,Minors,1.191,
2037,Hydro,68.775,68.78
2037,Thermal,35.105000000000004,35.11
2037,Wind,5.922,5.92
2037,Solar,5.155,5.16
2037,Minors,1.191,
