year,gen_tech,BuildGen,text
2023,Hydro,12.391502000000001,12.39
2023,Thermal,5.8215,5.82
2023,Run of River,0.7820499999999999,
2023,Solar,0.75217,
2023,Wind,0.032,
2024,Hydro,12.391502000000001,12.39
2024,Thermal,5.8735,5.87
2024,Solar,1.8320699999999999,1.83
2024,Run of River,0.7820499999999999,
2024,Wind,0.032,
2025,Hydro,12.391502000000001,12.39
2025,Thermal,5.8735,5.87
2025,Solar,1.94207,1.94
2025,Run of River,0.7820499999999999,
2025,Wind,0.032,
2026,Hydro,12.391502000000001,12.39
2026,Thermal,5.8735,5.87
2026,Solar,2.1600699999999997,2.16
2026,Run of River,0.7820499999999999,
2026,Wind,0.032,
2027,Hydro,12.391502000000001,12.39
2027,Thermal,5.8735,5.87
2027,Solar,2.28807,2.29
2027,Run of River,0.7820499999999999,
2027,Wind,0.287,
2028,Hydro,12.391502000000001,12.39
2028,Thermal,5.8735,5.87
2028,Solar,2.4160699999999995,2.42
2028,Run of River,0.7820499999999999,
2028,Wind,0.737,
2029,Hydro,12.391502000000001,12.39
2029,Thermal,5.8735,5.87
2029,Solar,2.5390699999999997,2.54
2029,Wind,1.229,1.23
2029,Run of River,0.7820499999999999,
2030,Hydro,12.391502000000001,12.39
2030,Thermal,5.8735,5.87
2030,Solar,2.6480699999999997,2.65
2030,Wind,1.229,1.23
2030,Run of River,0.7820499999999999,
2031,Hydro,12.391502000000001,12.39
2031,Thermal,5.8735,5.87
2031,Solar,2.7570699999999997,2.76
2031,Wind,1.229,1.23
2031,Run of River,0.7820499999999999,
2032,Hydro,12.391502000000001,12.39
2032,Thermal,5.8735,5.87
2032,Solar,2.8480700000000003,2.85
2032,Wind,1.229,1.23
2032,Run of River,0.7820499999999999,
2033,Hydro,12.391502000000001,12.39
2033,Thermal,5.8735,5.87
2033,Solar,2.9270699999999996,2.93
2033,Wind,1.229,1.23
2033,Run of River,0.7820499999999999,
2034,Hydro,12.391502000000001,12.39
2034,Thermal,5.8735,5.87
2034,Solar,3.0070699999999997,3.01
2034,Wind,1.229,1.23
2034,Run of River,0.7820499999999999,
2035,Hydro,12.391502000000001,12.39
2035,Thermal,5.8735,5.87
2035,Solar,3.0750699999999997,3.08
2035,Wind,1.229,1.23
2035,Run of River,0.7820499999999999,
