year,gen_tech,BuildGen,text
2023,Hydro,12.839,12.84
2023,Thermal,5.764,5.76
2023,Minors,1.341,1.34
2023,Solar,0.454,
2023,Wind,0.0,
2024,Hydro,12.839,12.84
2024,Thermal,5.806,5.81
2024,Solar,1.542,1.54
2024,Minors,1.341,1.34
2024,Wind,0.0,
2025,Hydro,12.839,12.84
2025,Thermal,5.806,5.81
2025,Solar,1.542,1.54
2025,Minors,1.341,1.34
2025,Wind,0.0,
2026,Hydro,12.839,12.84
2026,Thermal,5.806,5.81
2026,Solar,1.641,1.64
2026,Minors,1.341,1.34
2026,Wind,0.0,
2027,Hydro,12.839,12.84
2027,Thermal,5.806,5.81
2027,Solar,1.641,1.64
2027,Minors,1.341,1.34
2027,Wind,0.255,
2028,Hydro,12.839,12.84
2028,Thermal,5.806,5.81
2028,Solar,1.641,1.64
2028,Minors,1.341,1.34
2028,Wind,0.705,
2029,Hydro,12.839,12.84
2029,Thermal,5.806,5.81
2029,Solar,1.641,1.64
2029,Minors,1.341,1.34
2029,Wind,1.197,1.20
2030,Hydro,12.839,12.84
2030,Thermal,5.806,5.81
2030,Solar,1.641,1.64
2030,Minors,1.341,1.34
2030,Wind,1.197,1.20
2031,Hydro,12.839,12.84
2031,Thermal,5.806,5.81
2031,Solar,1.641,1.64
2031,Minors,1.341,1.34
2031,Wind,1.197,1.20
2032,Hydro,12.839,12.84
2032,Thermal,5.806,5.81
2032,Solar,1.641,1.64
2032,Minors,1.341,1.34
2032,Wind,1.197,1.20
2033,Hydro,12.839,12.84
2033,Thermal,5.806,5.81
2033,Solar,1.641,1.64
2033,Minors,1.341,1.34
2033,Wind,1.197,1.20
2034,Hydro,12.839,12.84
2034,Thermal,5.806,5.81
2034,Solar,1.641,1.64
2034,Minors,1.341,1.34
2034,Wind,1.197,1.20
2035,Hydro,12.839,12.84
2035,Thermal,5.806,5.81
2035,Solar,1.641,1.64
2035,Minors,1.341,1.34
2035,Wind,1.197,1.20
2036,Hydro,12.839,12.84
2036,Thermal,5.806,5.81
2036,Solar,1.641,1.64
2036,Minors,1.341,1.34
2036,Wind,1.197,1.20
2037,Hydro,12.839,12.84
2037,Thermal,5.806,5.81
2037,Solar,1.641,1.64
2037,Minors,1.341,1.34
2037,Wind,1.197,1.20
