year,Tech,Energy_GWh_typical_yr
2024,PCH,3236
2025,PCH,3236
2026,PCH,3236
2027,PCH,3236
2028,PCH,3236
2029,PCH,3236
2030,PCH,3236
2031,PCH,3236
2032,PCH,3236
2033,PCH,3236
2034,PCH,3236
2035,PCH,3236
2036,PCH,3236
2037,PCH,3236
2024,Minors,1191
2025,Minors,1191
2026,Minors,1191
2027,Minors,1191
2028,Minors,1191
2029,Minors,1191
2030,Minors,1191
2031,Minors,1191
2032,Minors,1191
2033,Minors,1191
2034,Minors,1191
2035,Minors,1191
2036,Minors,1191
2037,Minors,1383
2024,Thermal,543
2025,Thermal,543
2026,Thermal,543
2027,Thermal,543
2028,Thermal,543
2029,Thermal,543
2030,Thermal,543
2031,Thermal,0
2032,Thermal,0
2033,Thermal,0
2034,Thermal,0
2035,Thermal,0
2036,Thermal,0
2037,Thermal,0
2024,Thermal,1663
2025,Thermal,1249
2026,Thermal,905
2027,Thermal,304
2028,Thermal,115
2029,Thermal,88
2030,Thermal,156
2031,Thermal,393
2032,Thermal,162
2033,Thermal,159
2034,Thermal,495
2035,Thermal,341
2036,Thermal,461
2037,Thermal,1030
2024,Thermal,6952
2025,Thermal,6437
2026,Thermal,6039
2027,Thermal,5818
2028,Thermal,5767
2029,Thermal,5767
2030,Thermal,5777
2031,Thermal,4484
2032,Thermal,4359
2033,Thermal,4359
2034,Thermal,4484
2035,Thermal,4392
2036,Thermal,4445
2037,Thermal,4787
2024,Hidro,65233
2025,Hidro,64623
2026,Hidro,64781
2027,Hidro,63282
2028,Hidro,63361
2029,Hidro,62958
2030,Hidro,64772
2031,Hidro,69226
2032,Hidro,65597
2033,Hidro,61212
2034,Hidro,64078
2035,Hidro,65550
2036,Hidro,68320
2037,Hidro,71123
2024,Eolica,63
2025,Eolica,206
2026,Eolica,206
2027,Eolica,4989
2028,Eolica,7095
2029,Eolica,9398
2030,Eolica,9772
2031,Eolica,9772
2032,Eolica,16615
2033,Eolica,23941
2034,Eolica,23941
2035,Eolica,26201
2036,Eolica,26201
2037,Eolica,26201
2024,pv_solar,3651
2025,pv_solar,7961
2026,pv_solar,10202
2027,pv_solar,10660
2028,pv_solar,10848
2029,pv_solar,11292
2030,pv_solar,11434
2031,pv_solar,11577
2032,pv_solar,11696
2033,pv_solar,11800
2034,pv_solar,11906
2035,pv_solar,12031
2036,pv_solar,12654
2037,pv_solar,12745
