,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_EnerSource,Values_OperStartdate,Values_State,Value
0,2QBW,EL POPAL,HIDRAULICA,NO DESPACHADO CENTRALMENTE,FILO DE AGUA,AGUA,2014-03-31,OPERACION,19900.0
1,2QEK,SALTO II,HIDRAULICA,DESPACHADO CENTRALMENTE,FILO DE AGUA,AGUA,2014-06-25,OPERACION,35000.0
2,2QRL,LA REBUSCA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,AGUA,2014-07-24,OPERACION,700.0
3,2QV2,BAJO TULUA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2015-01-30,OPERACION,19900.0
4,2R22,LAGUNETA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2014-12-17,OPERACION,18000.0
5,2S6Q,AUTOG YAGUARITO,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,BIOGAS,2016-03-22,OPERACION,1600.0
6,2S6S,AUTOG ARGOS YUMBO,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,CARBON,2016-03-20,OPERACION,9900.0
7,2S6U,AUTOG ARGOS EL CAIRO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,AGUA,2017-09-29,OPERACION,6500.0
8,2S78,LA FRISOLERA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,AGUA,2016-04-29,OPERACION,470.0
9,2S8I,AUTOG REFICAR,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GAS,2016-04-26,OPERACION,9900.0
10,2S8N,GUAVIO MENOR,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2016-04-27,OPERACION,9900.0
11,2S8S,DOÑA JUANA,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,BIOGAS,2016-04-29,OPERACION,1700.0
12,2S8U,PORCE III MENOR,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2016-04-25,OPERACION,1800.0
13,2S9L,EL COCUYO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,AGUA,2016-05-20,OPERACION,700.0
14,2S9Q,TEQUENDAMA BIOGAS,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,BIOGAS,2016-06-25,OPERACION,2250.0
15,2SDR,ALEJANDRIA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2017-03-02,OPERACION,15000.0
16,2SI1,MORRO AZUL,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2016-09-10,OPERACION,19900.0
17,2SS2,MAGALLO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2016-12-22,OPERACION,5700.0
18,2SW1,EL EDEN,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2017-03-02,OPERACION,19900.0
19,2SXQ,BIOENERGY,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,BAGAZO,2017-04-22,OPERACION,19900.0
20,2T1L,EL MOLINO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2017-04-19,OPERACION,19900.0
21,2T4P,SAN MATIAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2017-04-25,OPERACION,19900.0
22,2T7D,AUTOG CANTAYUS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,AGUA,2017-05-20,OPERACION,4320.0
23,2TUT,LUZMA I,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2017-10-07,OPERACION,19600.0
24,2TUV,LUZMA II,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2017-10-07,OPERACION,19600.0
25,2TYI,AUTOG CELSIA SOLAR YUMBO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2017-09-03,OPERACION,9800.0
26,2U1G,LAS PALMAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2017-08-30,OPERACION,2800.0
27,2U5P,PROENCA II,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,CARBON,2017-10-10,OPERACION,17000.0
28,2U8Y,TERMOMECHERO 5,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,GAS,2017-12-16,OPERACION,19300.0
29,2U91,TERMOMECHERO 6,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,GAS,2018-02-02,OPERACION,19300.0
30,2U93,TERMOMECHERO 4,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,GAS,2018-02-02,OPERACION,19300.0
31,2UP2,COGENERADOR MANUELITA 2,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,BAGAZO,2018-06-22,OPERACION,12000.0
32,2UPD,TEQUENDAMA 2,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2018-02-28,OPERACION,14200.0
33,2UPF,TEQUENDAMA 3,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2018-02-28,OPERACION,14200.0
34,2UPH,TEQUENDAMA 4,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2018-02-28,OPERACION,14200.0
35,2UPJ,TEQUENDAMA 1,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2018-02-28,OPERACION,14200.0
36,2UR5,SAN JOSE DE LA MONTAÑA II,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2018-10-06,OPERACION,1100.0
37,2UX3,AURES BAJO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2018-12-12,OPERACION,19400.0
38,2V25,AUTOG ARGOS SOGAMOSO 1,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,CARBON,2018-10-02,OPERACION,15000.0
39,2V27,AUTOG COCA-COLA FEMSA,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GAS,2018-07-25,OPERACION,2440.0
40,2V5G,JUAN GARCIA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2018-09-12,OPERACION,4520.0
41,2VJS,CELSIA SOLAR BOLIVAR,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2019-02-03,OPERACION,8060.0
42,2WC5,MULATOS II,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2019-08-26,OPERACION,7340.0
43,2WFN,TERMOCAPACHOS,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,GAS,2019-08-04,OPERACION,9900.0
44,2XXR,AGPE - ECOPETROL LA HORMIGA,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GAS,2019-09-16,OPERACION,1000.0
45,2YIR,PCH LA LIBERTAD,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2020-03-14,OPERACION,1200.0
46,2YMA,AGPE NAFERTEX,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2019-11-27,OPERACION,19.8
47,2YNA,HIDROBARRANCAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2020-11-26,OPERACION,4700.0
48,2YQM,AGPE TECNOEMPAQUES DE OCCIDENTE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2019-12-19,OPERACION,96.0
49,2YWY,AUTOG TURGAS,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GAS,2020-02-08,OPERACION,3500.0
50,2Z66,AGPE SFV MCDONALDS SOLEDAD,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-02-27,OPERACION,89.0
51,2ZCF,SAN ANDRES DE CUERQUIA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2020-06-11,OPERACION,19900.0
52,2ZHY,CELSIA SOLAR ESPINAL,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2020-05-31,OPERACION,9900.0
53,2ZJT,AGPE HOTEL HACIENDA CASONA DEL SALITRE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-05-21,OPERACION,14.5
54,2ZM3,AGPE DIEGO MONTESDEOCA ASSEFF,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-06-11,OPERACION,2.5
